"","date","p_cases","p_cases_low","p_cases_high","p_m","p_m_low","p_m_high","p_cases_smooth","p_cases_smooth_low","p_cases_smooth_high"
"1","2020/04/07",0.00235632697132994,-0.00076646867156563,0.00547912261422551,0.0023032839280322,-0.00296951308163157,0.00757608093769597,0.00401415128145436,0.00166666705112269,0.0063572112377368
"2","2020/04/08",0.00773521427473137,0.00361066482252684,0.0118597637269359,0.00796428105062823,0.0034019108208083,0.0125266512804482,0.00402340778788399,0.00167698600104233,0.00636558687820643
"3","2020/04/09",0.00967955181215233,0.00604894775943256,0.0133101558648721,0.0105697130106789,0.00676178649372467,0.0143776395276332,0.00403266571292685,0.00168730553896344,0.00637396445766111
"4","2020/04/10",0.00982323546061462,0.00661884511346735,0.0130276258077619,0.0108137273615061,0.00751328070384479,0.0141141740191675,0.00404192647300316,0.00169762654473168,0.00638234571844804
"5","2020/04/11",0.00645159796555037,0.00486220697903906,0.00804098895206167,0.00580896407933421,0.00420649706214657,0.00741143109652185,0.00405119159172765,0.00170795000937914,0.00639073250547426
"6","2020/04/12",0.00309906080077933,0.000973062072456667,0.005225059529102,0.00458621246852914,0.00242539912711875,0.00674702580993953,0.00406046398655582,0.00171827836968555,0.00639912799722341
"7","2020/04/13",0.00354100850629148,0.00125327518366543,0.00582874182891752,0.00543883124722986,0.00312775261245364,0.00774990988200608,0.00406974754969414,0.00172861507348156,0.00640753630478577
"8","2020/04/14",0.00351956729989188,0.00127401800415158,0.00576511659563217,0.00538590030884042,0.00311724149647472,0.00765455912120611,0.00407904619340698,0.00173896358969084,0.00641596155828428
"9","2020/04/15",0.00349955943072304,0.00127209242336454,0.00572702643808153,0.00536873919353783,0.00311904648931791,0.00761843189775775,0.00408836383548297,0.00174932742110378,0.00642440787770152
"10","2020/04/16",0.00350286212695869,0.00129254987355035,0.00571317438036703,0.0053708304920461,0.003139137405814,0.0076025235782782,0.00409770440379319,0.00175971013232134,0.00643287936451284
"11","2020/04/17",0.00350394207965145,0.00130003938242836,0.00570784477687455,0.00537014147973666,0.00314515288169911,0.00759513007777421,0.00410707182728173,0.0017701152945225,0.00644138011822399
"12","2020/04/18",0.00350867104768139,0.00131502469559436,0.00570231739976842,0.00537272837566344,0.00315847889253423,0.00758697785879264,0.00411646998008219,0.00178054642139672,0.0064499141879382
"13","2020/04/19",0.00349874416251693,0.00133437611497049,0.00566311221006337,0.00533843494754692,0.00315424138074335,0.00752262851435049,0.00412590244797018,0.00179100672418092,0.00645848535759112
"14","2020/04/20",0.00349957112337396,0.00134125486432872,0.0056578873824192,0.0053357449535433,0.00315785187881786,0.00751363802826873,0.00413537272222804,0.001801499315,0.00646709732422446
"15","2020/04/21",0.00350076244424493,0.00135004284612663,0.00565148204236322,0.00533768382301671,0.00316776356954451,0.0075076040764889,0.00414488428161416,0.00181202729373394,0.00647575377277684
"16","2020/04/22",0.00350076244424493,0.00135004284612663,0.00565148204236322,0.00533768382301671,0.00316776356954451,0.0075076040764889,0.00415444037114875,0.00182259353180468,0.00648445816225455
"17","2020/04/23",0.00350034858678493,0.00135159943677786,0.00564909773679199,0.00533614416977927,0.00316827499966326,0.00750401333989528,0.00416404402826428,0.00183320069773584,0.00649321375100882
"18","2020/04/24",0.00350010138989869,0.00135331750939305,0.00564688527040433,0.00533462063856527,0.00316879539140918,0.00750044588572136,0.00417369828265883,0.00184385145250347,0.0065020237899043
"19","2020/04/25",0.00350149534467268,0.00135827154107258,0.00564471914827279,0.00533954232484355,0.00317749113841543,0.00750159351127167,0.00418340602372087,0.00185454832321968,0.00651089139135315
"20","2020/04/26",0.00350149534467268,0.00135827154107258,0.00564471914827279,0.00533954232484355,0.00317749113841543,0.00750159351127167,0.00419316981135423,0.00186529352264808,0.00651981934264402
"21","2020/04/27",0.00350149534467268,0.00135827154107258,0.00564471914827279,0.00533954232484355,0.00317749113841543,0.00750159351127167,0.0042029921582176,0.00187608921847754,0.00652881038444572
"22","2020/04/28",0.00350149534467268,0.00135827154107258,0.00564471914827279,0.00533954232484355,0.00317749113841543,0.00750159351127167,0.00421287552149916,0.00188693752603685,0.00653786720189395
"23","2020/04/29",0.00350125142688753,0.00135997407181602,0.00564252878195904,0.00533802483712737,0.00317799724280775,0.00749805243144699,0.00422282197153918,0.00189784019549881,0.00654699209283959
"24","2020/04/30",0.00350294614444128,0.0013635604087495,0.00564233188013305,0.00534044298342118,0.00318240494645319,0.00749848102038917,0.00423283341394035,0.0019087988215361,0.00655618719020996
"25","2020/05/01",0.00350294614444128,0.0013635604087495,0.00564233188013305,0.00534044298342118,0.00318240494645319,0.00749848102038917,0.00424291174225293,0.00191981498760965,0.00656545461465363
"26","2020/05/02",0.00350259500523568,0.00136514532746683,0.00564004468300453,0.00533958639668939,0.00318356948589162,0.00749560330748715,0.00425305852081435,0.00193088997117129,0.00657479615111579
