"","date","p_cases","p_cases_low","p_cases_high","p_m","p_m_low","p_m_high","p_cases_smooth","p_cases_smooth_low","p_cases_smooth_high"
"1","2020/04/07",0.00235632697132994,-0.00076646867156563,0.00547912261422551,0.0023032839280322,-0.00296951308163157,0.00757608093769597,0.00402909819635788,0.00166859684999525,0.00638916500055446
"2","2020/04/08",0.00773521427473137,0.00361066482252684,0.0118597637269359,0.00796428105062823,0.0034019108208083,0.0125266512804482,0.00403886684081729,0.00167953348657417,0.00639769230761605
"3","2020/04/09",0.00967955181215233,0.00604894775943256,0.0133101558648721,0.0105697130106789,0.00676178649372467,0.0143776395276332,0.00404863556332334,0.00169047023027981,0.00640621970527722
"4","2020/04/10",0.00982323546061462,0.00661884511346735,0.0130276258077619,0.0108137273615061,0.00751328070384479,0.0141141740191675,0.00405840444199131,0.00170140724178489,0.00641474727511005
"5","2020/04/11",0.00645159796555037,0.00486220697903906,0.00804098895206167,0.00580896407933421,0.00420649706214657,0.00741143109652185,0.00406817356078819,0.00171234470198121,0.00642327510340598
"6","2020/04/12",0.00309906080077933,0.000973062072456667,0.005225059529102,0.00458621246852914,0.00242539912711875,0.00674702580993953,0.00407794307976984,0.00172328305466809,0.00643180333782136
"7","2020/04/13",0.00354100850629148,0.00125327518366543,0.00582874182891752,0.00543883124722986,0.00312775261245364,0.00774990988200608,0.00408771321220313,0.00173422292750323,0.00644033216892676
"8","2020/04/14",0.00351956729989188,0.00127401800415158,0.00576511659563217,0.00538590030884042,0.00311724149647472,0.00765455912120611,0.00409748417242885,0.0017451649519423,0.00644886178814481
"9","2020/04/15",0.00349955943072304,0.00127209242336454,0.00572702643808153,0.00536873919353783,0.00311904648931791,0.00761843189775775,0.00410725617303426,0.00175610976191196,0.00645739238411659
"10","2020/04/16",0.00350286212695869,0.00129254987355035,0.00571317438036703,0.0053708304920461,0.003139137405814,0.0076025235782782,0.00411702942340628,0.00176705799584866,0.00646592414040658
"11","2020/04/17",0.00350394207965145,0.00130003938242836,0.00570784477687455,0.00537014147973666,0.00314515288169911,0.00759513007777421,0.00412680413259123,0.00177801029266884,0.00647445724003893
"12","2020/04/18",0.00350867104768139,0.00131502469559436,0.00570231739976842,0.00537272837566344,0.00315847889253423,0.00758697785879264,0.00413658050550659,0.00178896727865168,0.00648299186247927
"13","2020/04/19",0.00349874416251693,0.00133437611497049,0.00566311221006337,0.00533843494754692,0.00315424138074335,0.00752262851435049,0.00414635872534801,0.00179992951359191,0.00649152816847146
"14","2020/04/20",0.00349957112337396,0.00134125486432872,0.0056578873824192,0.0053357449535433,0.00315785187881786,0.00751363802826873,0.00415613896819303,0.0018108975354977,0.00650006631262439
"15","2020/04/21",0.00350076244424493,0.00135004284612663,0.00565148204236322,0.00533768382301671,0.00316776356954451,0.0075076040764889,0.00416592140917238,0.00182187187963071,0.00650860644870511
"16","2020/04/22",0.00350076244424493,0.00135004284612663,0.00565148204236322,0.00533768382301671,0.00316776356954451,0.0075076040764889,0.0041757062057458,0.00183285303000533,0.00651714871476655
"17","2020/04/23",0.00350034858678493,0.00135159943677786,0.00564909773679199,0.00533614416977927,0.00316827499966326,0.00750401333989528,0.00418549349967912,0.0018438414251222,0.00652569323490566
"18","2020/04/24",0.00350010138989869,0.00135331750939305,0.00564688527040433,0.00533462063856527,0.00316879539140918,0.00750044588572136,0.0041952834321558,0.00185483750179287,0.00653424013270148
"19","2020/04/25",0.00350149534467268,0.00135827154107258,0.00564471914827279,0.00533954232484355,0.00317749113841543,0.00750159351127167,0.00420507613439992,0.00186584166787362,0.00654278952286454
"20","2020/04/26",0.00350149534467268,0.00135827154107258,0.00564471914827279,0.00533954232484355,0.00317749113841543,0.00750159351127167,0.00421487171424819,0.00187685426322603,0.00655134149927973
"21","2020/04/27",0.00350149534467268,0.00135827154107258,0.00564471914827279,0.00533954232484355,0.00317749113841543,0.00750159351127167,0.00422467027618377,0.00188787561796184,0.0065598961528457
"22","2020/04/28",0.00350149534467268,0.00135827154107258,0.00564471914827279,0.00533954232484355,0.00317749113841543,0.00750159351127167,0.00423447192116203,0.0018989060516744,0.00656845357134899
