"","countriesAndTerritories","geoId","date","cases","deaths","cum_cases","cum_deaths","cum_deaths_400","est_ccfr","est_ccfr_low","est_ccfr_high","sample_size","mean_cases","mean_reach","dunbar_reach","cases_p_reach","cases_p_reach_low","cases_p_reach_high","cases_p_reach_error","cases_p_reach_prop","cases_p_reach_prop_median","estimated_cases","estimate_cases_low","estimate_cases_high","estimate_cases_error","prop_cases","dunbar_cases","prop_cases_low","prop_cases_high","prop_cases_error","dunbar_cases_low","dunbar_cases_high","dunbar_cases_error"
"1","Tajikistan","TJ","2020/05/01",15,0,15,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tajikistan","TJ","2020/05/02",0,0,15,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Tajikistan","TJ","2020/05/03",17,0,32,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Tajikistan","TJ","2020/05/04",44,2,76,2,800,5005.31981812847,4995.87122824706,5014.7862779362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Tajikistan","TJ","2020/05/05",154,1,230,3,1200,10442.3461280521,8025.68043871333,13586.709998078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Tajikistan","TJ","2020/05/06",63,2,293,5,2000,9245.01629657196,7451.2138519927,11470.6580728486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Tajikistan","TJ","2020/05/07",86,3,379,8,3200,8804.71607277428,7439.45803773593,10420.5205176159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Tajikistan","TJ","2020/05/08",82,4,461,12,4800,8920.03500553707,7898.18194704606,10074.0936374307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Tajikistan","TJ","2020/05/09",61,0,522,12,4800,6386.23362771391,5565.16973638453,7328.43415019354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Tajikistan","TJ","2020/05/10",90,8,612,20,8000,8652.92483376634,7980.78699546152,9381.66978035985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Tajikistan","TJ","2020/05/11",0,0,612,20,8000,6406.78433461634,5880.67108941158,6979.96621239235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Tajikistan","TJ","2020/05/12",49,1,661,21,8400,5667.64837308736,5210.23469719126,6165.21902521518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Tajikistan","TJ","2020/05/13",68,2,729,23,9200,5588.18454288352,5168.48618950733,6041.96380532441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Tajikistan","TJ","2020/05/14",72,0,801,23,9200,5170.9747834513,4775.750962971,5598.90589321157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Tajikistan","TJ","2020/05/15",106,6,907,29,11600,6345.62283488354,5958.52454473268,6757.86914366096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
