Timestamp,Starttime,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
"2020/04/10 06:20:40 AM UTC",,Switzerland,CH,,,,150,1,,,,,,,,,,,,,world-g-sheet,,
"2020/04/12 07:47:35 PM UTC",,Switzerland,CH,,,,2,0,,,,,,,,,,,,,world-g-sheet,,
"2020/04/12 07:55:22 PM UTC",,Switzerland,CH,,,,1000,0,,,,,,,,,,,,,world-g-sheet,,
"2020/04/16 08:46:05 AM UTC",,Switzerland,CH,,,,15,0,,,,,,,,,,,,,world-g-sheet,,
"2020/04/16 08:48:07 AM UTC",,Switzerland,CH,,,,50,0,,,,,,,,,,,,,world-g-sheet,,
"2020/04/20 07:36:07 AM UTC",,Switzerland,CH,,,,30,2,,,,,,,,,,,,,world-g-sheet,,
"2020/04/27 06:50:40 PM UTC",,Switzerland,CH,,,,25,1,,,,,,,,,,,,,world-g-sheet,,
"2020/04/27 09:23:50 PM UTC",,Switzerland,CH,,,,344000,1795,,,,,,,,,,,,,world-g-sheet,,
"2020/05/14 11:17:47 AM UTC","2020/05/14 11:17:47 AM UTC",Switzerland,CH,Zürich,CHZH,en,10,0,0,,,,,,,,,Y,N,N,limesurvey,hbyjckgiowka6oia3p,
"2020/05/14 05:52:12 PM UTC","2020/05/14 05:52:12 PM UTC",Switzerland,CH,Genève,CHGE,en,20,1,1,,,,,,,,,Y,Y,Y,limesurvey,aybft4cnhlka72lfp2,
"2020/05/21 11:30:00 AM UTC","2020/05/21 11:30:00 AM UTC",Switzerland,CH,Zürich,CHZH,en,9,0,,,,,,,,,,Y,N,N,limesurvey-10037,uwtsqe81kbkagp22fl,
"2020/06/05 08:59:14 PM UTC","2020/06/05 08:59:14 PM UTC",Switzerland,CH,Vaud,CHVD,en,7,0,,,,,,,,,,Y,N,N,limesurvey-13718,xfj402y214kb2oyq0t,
"2020/06/05 10:33:08 PM UTC","2020/06/05 10:33:08 PM UTC",Switzerland,CH,Genève,CHGE,en,19,7,6,,,,,,,,,N,N,N,limesurvey-13810,6hj497h8fskb2sbsr8,
"2020/06/06 09:11:31 AM UTC","2020/06/06 09:11:31 AM UTC",Switzerland,CH,Vaud,CHVD,en,2,2,2,,,,,,,,,N,N,N,limesurvey-13936,jd9vonl8e2kb3f34pg,
"2020/06/06 09:23:53 AM UTC","2020/06/06 09:23:53 AM UTC",Switzerland,CH,Zürich,CHZH,en,20,0,0,,,,,,,,,Y,N,Y,limesurvey-13943,vu8w62mjb7kb3fkcl4,
"2020/06/06 10:10:42 AM UTC","2020/06/06 10:10:42 AM UTC",Switzerland,CH,Genève,CHGE,en,13,1,1,,,,,,,,,Y,Y,N,limesurvey-13959,rbkcd1nxgmkb3h8dii,
"2020/06/06 09:54:35 PM UTC","2020/06/06 09:54:35 PM UTC",Switzerland,CH,Zürich,CHZH,en,10,0,,,,,,,,,,Y,N,N,limesurvey-14068,zc7bs8t13zkb46dqha,
"2020/06/07 08:30:37 PM UTC","2020/06/07 08:30:37 PM UTC",Switzerland,CH,Vaud,CHVD,en,20,0,0,,,,,,,,,Y,N,N,limesurvey-14197,f6ihatpmjgkb5itmwf,
"2020/06/08 09:48:54 AM UTC","2020/06/08 09:48:54 AM UTC",Switzerland,CH,Aargau,CHAG,en,1,0,0,,,,,,,,,Y,N,N,limesurvey-14269,ppg8730eavkb6bcwfi,
"2020/06/09 03:52:10 PM UTC","2020/06/09 03:52:10 PM UTC",Switzerland,CH,Zürich,CHZH,en,7,0,0,,,,,,,,,Y,N,N,limesurvey-14674,labu8wymjakb83r8u9,
"2020/06/09 04:30:12 PM UTC","2020/06/09 04:30:12 PM UTC",Switzerland,CH,,,en,20,0,0,,,,,,,,,N,N,N,limesurvey-14732,f6ihatpmjgkb5itmwf,
"2020/06/09 04:41:02 PM UTC","2020/06/09 04:41:02 PM UTC",Switzerland,CH,Zürich,CHZH,en,10,0,,,,,,,,,,N,N,N,limesurvey-14742,zc7bs8t13zkb46dqha,
"2020/06/09 07:34:48 PM UTC","2020/06/09 07:34:48 PM UTC",Switzerland,CH,Zürich,CHZH,en,50,2,2,,,,,,,,,Y,N,N,limesurvey-14900,3tba9x1kt1kb8bpjo3,
"2020/06/09 10:09:51 PM UTC","2020/06/09 10:09:51 PM UTC",Switzerland,CH,Zürich,CHZH,en,15,1,1,,,,,,,,,Y,N,N,limesurvey-14932,mubmqfzajtkb8h8yl4,
"2020/06/10 04:57:49 AM UTC","2020/06/10 04:57:49 AM UTC",Switzerland,CH,Zürich,CHZH,en,17,1,1,,,,,,,,,Y,N,N,limesurvey-15004,7c5d42rnx5kb8vtlug,
"2020/06/10 07:38:09 AM UTC","2020/06/10 07:38:09 AM UTC",Switzerland,CH,Zürich,CHZH,en,150,1,1,,,,,,,,,Y,N,N,limesurvey-15057,gda9i9mnhakb91js9w,
"2020/06/11 04:56:04 AM UTC","2020/06/11 04:56:04 AM UTC",Switzerland,CH,Zürich,CHZH,en,17,1,1,,,,,,,,,N,N,N,limesurvey-15261,7c5d42rnx5kb8vtlug,
"2020/06/11 08:38:52 AM UTC","2020/06/11 08:38:52 AM UTC",Switzerland,CH,,,en,20,0,0,,,,,,,,,N,N,N,limesurvey-15280,f6ihatpmjgkb5itmwf,
"2020/06/11 05:59:43 PM UTC","2020/06/11 05:59:43 PM UTC",Switzerland,CH,Genève,CHGE,en,13,1,1,,,,,,,,,N,Y,N,limesurvey-15509,rbkcd1nxgmkb3h8dii,
"2020/06/12 03:59:08 AM UTC","2020/06/12 03:59:08 AM UTC",Switzerland,CH,Zürich,CHZH,en,17,1,1,,,,,,,,,N,N,N,limesurvey-15599,7c5d42rnx5kb8vtlug,
