Timestamp,Region,Reach,Cases
"2020/03/23 11:02:56 PM GMT+1","North Holland",20,3
"2020/03/23 11:14:33 PM GMT+1","North Holland",6,
"2020/03/24 10:00:39 AM GMT+1","North Holland",15,
"2020/03/24 10:43:02 AM GMT+1","North Holland",50,
"2020/03/24 12:40:51 PM GMT+1","North Holland",100,1
"2020/03/24 4:57:42 PM GMT+1","North Holland",30,
"2020/03/24 5:34:46 PM GMT+1","North Holland",110,10
"2020/03/24 5:35:55 PM GMT+1","North Holland",150,20
"2020/03/24 5:44:46 PM GMT+1","North Holland",500,1
"2020/03/24 5:50:06 PM GMT+1","North Holland",60,3
"2020/03/24 7:19:01 PM GMT+1","North Holland",150,1
"2020/03/24 7:49:56 PM GMT+1","Entire country",250,2
