Timestamp,Region,Reach,Cases
"2020/03/26 12:17:48 PM GMT+1",茨城,100,
"2020/03/26 12:18:19 PM GMT+1",東京,5,
"2020/03/26 12:18:34 PM GMT+1",東京,5,
"2020/03/26 12:29:04 PM GMT+1",神奈川,7,
"2020/03/26 12:33:13 PM GMT+1",東京,5,
"2020/03/26 12:34:52 PM GMT+1",千葉,30,
"2020/03/26 12:35:30 PM GMT+1",神奈川,8,
"2020/03/26 12:36:14 PM GMT+1",東京,50,
"2020/03/26 12:38:01 PM GMT+1",茨城,20,
"2020/03/26 12:46:51 PM GMT+1",神奈川,20,
"2020/03/26 12:48:34 PM GMT+1",千葉,20,
"2020/03/26 12:52:49 PM GMT+1",京都,5,
"2020/03/26 1:03:21 PM GMT+1",東京,20,
"2020/03/26 1:08:27 PM GMT+1",福岡,100,
"2020/03/26 1:10:55 PM GMT+1",東京,20,
"2020/03/26 1:16:25 PM GMT+1",大阪,30,
"2020/03/26 1:18:01 PM GMT+1",東京,20,
"2020/03/26 1:27:19 PM GMT+1",東京,20,
"2020/03/26 1:38:43 PM GMT+1",東京,30,
"2020/03/26 1:42:41 PM GMT+1",埼玉,50,
"2020/03/26 1:43:15 PM GMT+1",東京,5,
"2020/03/26 1:46:28 PM GMT+1",兵庫,20,
"2020/03/26 1:47:39 PM GMT+1",東京,1,1
"2020/03/26 1:47:59 PM GMT+1",東京,5,
"2020/03/26 1:50:21 PM GMT+1",東京,10,
"2020/03/26 1:54:30 PM GMT+1",東京,100,
"2020/03/26 1:57:05 PM GMT+1",埼玉,6,
"2020/03/26 2:00:13 PM GMT+1",茨城,20,
"2020/03/26 2:06:04 PM GMT+1",東京,15,
"2020/03/26 2:17:52 PM GMT+1",神奈川,100,
"2020/03/26 2:23:14 PM GMT+1",茨城,3,
"2020/03/26 2:24:18 PM GMT+1",山口,10,
"2020/03/26 2:25:07 PM GMT+1",神奈川,100,
"2020/03/26 2:25:22 PM GMT+1",東京,10,
"2020/03/26 2:36:37 PM GMT+1",東京,15,
"2020/03/26 2:40:12 PM GMT+1",新潟,20,
"2020/03/26 2:43:59 PM GMT+1",福岡,80,
"2020/03/26 2:47:57 PM GMT+1",奈良,6,
"2020/03/26 2:52:44 PM GMT+1",東京,30,
"2020/03/26 2:53:34 PM GMT+1",東京,20,
"2020/03/26 2:56:31 PM GMT+1",京都,1,
"2020/03/26 2:57:25 PM GMT+1",東京,210,150
"2020/03/26 2:57:50 PM GMT+1",東京,600,
"2020/03/26 3:07:42 PM GMT+1",東京,150,
"2020/03/26 3:08:23 PM GMT+1",東京,100,
"2020/03/26 3:25:12 PM GMT+1",神奈川,30,
"2020/03/26 3:29:52 PM GMT+1",埼玉,3,
"2020/03/26 3:31:05 PM GMT+1",東京,30,
"2020/03/26 3:31:49 PM GMT+1",岡山,1,
"2020/03/26 3:44:25 PM GMT+1",大阪,250,
"2020/03/26 4:02:20 PM GMT+1",鹿児島,520472,472
"2020/03/26 4:04:07 PM GMT+1",鳥取,35,42
"2020/03/26 4:06:01 PM GMT+1",東京,2,47
"2020/03/26 4:33:20 PM GMT+1",全国,50,
"2020/03/26 4:53:52 PM GMT+1",東京,20,
"2020/03/26 5:35:31 PM GMT+1",神奈川,20,
"2020/03/26 10:29:16 PM GMT+1",東京,150,5
"2020/03/27 1:00:15 AM GMT+1",北海道,40,
"2020/03/27 1:06:21 AM GMT+1",東京,400,
"2020/03/27 1:07:12 AM GMT+1",神奈川,150,
"2020/03/27 2:14:15 AM GMT+1",東京,30,
"2020/03/27 2:19:36 AM GMT+1",東京,150,
"2020/03/27 7:28:04 AM GMT+1",全国,100,87
"2020/03/27 9:47:17 AM GMT+1",東京,20,
"2020/03/27 10:00:25 AM GMT+1",東京,10,
"2020/03/27 11:13:19 AM GMT+1",東京,4,
"2020/03/27 12:10:03 PM GMT+1",東京,60,
"2020/03/27 1:07:31 PM GMT+1",神奈川,80,
"2020/03/27 3:57:57 PM GMT+1",東京,500,
"2020/03/28 4:46:32 PM GMT+1",北海道,22,1
"2020/03/28 5:08:17 PM GMT+1",神奈川,300,
"2020/03/29 3:15:51 PM GMT+2",神奈川,2,
"2020/03/30 3:17:34 AM GMT+2",東京,5,
"2020/03/30 3:17:46 AM GMT+2",東京,5,
"2020/03/30 10:44:26 AM GMT+2",茨城,3,
"2020/03/30 10:45:35 AM GMT+2",東京,30,
"2020/03/30 11:00:07 AM GMT+2",長野,10,
"2020/03/30 4:52:56 PM GMT+2",東京,50,
