Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,RecentCasesNursing,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,30,0,,,,,,4,0,,,,,N,Y,limesurvey-5801,3wblycnbzjkd8yljuv,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,80,1,1,0,0,0,0,7,1,0,0,0,,N,N,limesurvey-5259,o8sav7hn63kd8ikom4,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,50,3,3,0,0,0,0,0,0,0,0,0,,Y,Y,limesurvey-5956,m3pmd3mpsmkd9c9mdi,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,40,1,1,0,0,0,0,0,0,0,0,0,,N,N,limesurvey-5446,pnamxgo9yikd8l8ydb,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,34,3,3,0,0,0,0,3,0,0,0,0,,Y,N,limesurvey-5567,gmhvm5fxzskd8ohq29,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,30,3,3,0,0,0,0,1,1,0,0,0,,N,N,limesurvey-5795,jfntsq57x0kd8yeps8,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,4,0,0,,0,0,0,1,0,,,,,N,N,limesurvey-5426,1xe0nhmz20kd8kurlp,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,en,25,0,0,0,0,0,0,1,0,0,0,0,,N,N,limesurvey-5901,7ydbbrsv9qkd97fuah,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,4,2,2,0,0,0,0,0,0,0,0,0,,N,N,limesurvey-5423,3s5eb6setzkd8kxo3n,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,10,0,,,,,,,,,,,,Y,Y,limesurvey-5748,mjj0ufak2xkd8wbvv6,
2020/07/30,Spain,ES,"Arganda del Rey",ESMAR,en,100,4,4,0,0,0,0,0,,0,,,,N,N,limesurvey-5969,pbuxyc6jdskd9dqidc,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,80,5,5,0,0,,0,5,5,0,,,,Y,Y,limesurvey-5729,umb0y42sfxkd8vvfd2,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,30,4,4,0,0,0,0,2,2,2,2,0,,N,N,limesurvey-5428,4utvegnm3pkd8kxrgv,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,en,20,3,30,0,0,0,0,3,3,1,0,0,,N,,limesurvey-5599,u3pvfwfrpxkd8pph1z,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,10,4,4,0,0,0,0,4,4,0,0,0,,Y,N,limesurvey-5344,x0i9xz722hkd8jazsx,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,20,0,,,,,,1,0,0,,,,N,Y,limesurvey-5399,00uxbljoofkd8k47fk,
2020/07/30,Spain,ES,"Rivas Barrio Este",ESMRE,es,10,0,0,0,0,0,0,1,0,0,0,0,,N,N,limesurvey-5927,mqprw8e6jhkd99w1q2,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,10,0,,,,,,,,,,,,N,N,limesurvey-5827,yuutdugb6skd8zasgi,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,4,0,,,,,,,,,,,,N,N,limesurvey-5840,lovwq01480kd90ay0w,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,en,10,2,2,0,0,0,0,3,1,0,0,0,,N,N,limesurvey-5977,srujruuh5zkd9f02mv,
2020/07/30,Spain,ES,"Rivas Barrio Centro",ESMRC,es,23,7,7,0,0,0,0,6,3,0,0,0,,N,N,limesurvey-5326,k3nf3132q3kd8j1d6r,
2020/07/30,Spain,ES,"Rivas Barrio Oeste",ESMRO,es,30,0,,,,,,,,,,,,N,N,limesurvey-5877,p48t01ez8ikd94xmv3,
