"date","region","regionname","sample_size","reach","cases_est","cases_low","cases_high","recentcases_est","recentcases_low","recentcases_high","recentcasesnursing_est","recentcasesnursing_low","recentcasesnursing_high","fatalities_est","fatalities_low","fatalities_high","hospital_est","hospital_low","hospital_high","icu_est","icu_low","icu_high","p_cases","p_cases_low","p_cases_high","p_recovered","p_recovered_low","p_recovered_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recentcases","p_recentcases_low","p_recentcases_high","p_recentcasesnursing","p_recentcasesnursing_low","p_recentcasesnursing_high","p_stillsick","p_stillsick_low","p_stillsick_high","p_hospital","p_hospital_low","p_hospital_high","p_severe","p_severe_low","p_severe_high","p_icu","p_icu_low","p_icu_high","p_tested","p_tested_low","p_tested_high","p_positive","p_positive_low","p_positive_high","population"
"2020/07/30","ESMRO","Rivas Barrio Oeste",77,1790,2967.60893854749,2482.36102156037,3452.8568555346,0,0,0,0,0,0,250.407523510972,95.6934739388761,405.121573083067,617.501546072975,377.323859272209,857.67923287374,415.423476968796,198.950000400693,631.896953536899,0.0743016759776536,0.062152253919889,0.0864510980354182,0.933333333333333,0.888702990105254,0.977963676561413,0.0769230769230769,0.0311169380336183,0.122729215812536,0,0,0,0,0,0,0.0075187969924812,0,0.0221998631308919,0.190839694656489,0.123547594212837,0.25813179510014,0.186915887850467,0.113049468265358,0.260782307435577,0.130841121495327,0.0669444969154315,0.194737746075223,0.0955652717051843,0.0811643234640162,0.109966219946352,0.379084967320261,0.30220968136939,0.455960253271133,39940
"2020/07/31","ESMRO","Rivas Barrio Oeste",100,2336,3111.76369863014,2677.64805382806,3545.87934343221,0,0,0,0,0,0,226.182161396885,98.5727788419276,353.791543951843,561.744022503516,362.14880448164,761.339240525393,321.405579399142,159.410667260904,483.40049153738,0.0779109589041096,0.067041763991689,0.0887801538165301,0.937142857142857,0.901183718135643,0.973101996150071,0.0670391061452514,0.0304023171577238,0.103675895132779,0,0,0,0,0,0,0.0164835164835165,0,0.0349816603120974,0.166666666666667,0.112223222651665,0.221110110681668,0.141025641025641,0.086409006794456,0.195642275256826,0.0974025974025974,0.050573041483686,0.144232153321509,0.0982604607428303,0.0856103507815786,0.110910570704082,0.358851674641148,0.293821983289938,0.423881365992359,39940
"2020/08/01","ESMRO","Rivas Barrio Oeste",104,2414,3226.30488815244,2792.14848588446,3660.46129042043,0,0,0,0,0,0,218.350797266515,95.1476348526355,341.553959680394,578.578542326845,379.572262390487,777.584822263202,312.03125,154.742584386869,469.319915613131,0.0807787903893952,0.069908575009626,0.0916490057691644,0.941489361702128,0.907939225091465,0.975039498312791,0.0625,0.0282608382587273,0.0967391617412727,0,0,0,0,0,0,0.0205128205128205,0.000617870455577849,0.0404077705700632,0.16580310880829,0.113334438923917,0.218271778692664,0.14792899408284,0.0944024401126977,0.201455548052983,0.0925925925925926,0.0479571478793011,0.137228037305884,0.0997732426303855,0.0872641215488855,0.112282363711885,0.377272727272727,0.313223572998578,0.441321881546876,39940
"2020/08/02","ESMRO","Rivas Barrio Oeste",123,2703,3324.63928967814,2908.70091246444,3740.57766689183,0,0,0,0,0,0,192.946859903382,84.04291280879,301.850806997973,561.63117717959,376.8787689829,746.383585376281,292.065813528336,149.480407440525,434.651219616148,0.0832408435072142,0.0728267629560452,0.0936549240583832,0.94954128440367,0.920484679647572,0.978597889159767,0.0542986425339367,0.0244225740304002,0.0841747110374731,0,0,0,0,0,0,0.0178571428571429,0.000514415382796309,0.0351998703314894,0.157657657657658,0.109720370305195,0.20559494501012,0.13265306122449,0.0851660191443669,0.180140103304613,0.0824742268041237,0.0437649115817428,0.121183542026505,0.103047313552526,0.0911155958125643,0.114979031292488,0.381322957198444,0.321940248186134,0.440705666210754,39940
"2020/08/03","ESMRO","Rivas Barrio Oeste",134,2900,3250.28965517241,2852.83987012496,3647.73944021987,0,0,0,0,0,0,184.62249614792,80.4061129426123,288.838879353227,533.957219251337,358.246638770113,709.66779973256,275.804920155373,141.130410946386,410.47942936436,0.0813793103448276,0.0714281389615662,0.0913304817280889,0.951965065502183,0.924268912042388,0.979661218961979,0.0517241379310345,0.0232258954685007,0.0802223803935683,0,0,0,0,0,0,0.0169491525423729,0.000480651384390345,0.0334176537003554,0.14957264957265,0.103875946754798,0.195269352390501,0.120192307692308,0.0759998008559041,0.164384814528711,0.0776699029126214,0.0411201830804174,0.114219622744825,0.103132161955691,0.0914821986871774,0.114782125224205,0.374074074074074,0.316356710646138,0.43179143750201,39940
"2020/08/04","ESMRO","Rivas Barrio Oeste",159,3383,3317.51108483594,2946.08088535121,3688.94128432068,0,0,0,0,0,0,171.756533245121,78.5913044723684,264.921762017873,498.430213464696,340.947199288389,655.913227641004,232.886297376093,119.107283523658,346.665311228529,0.083062370676914,0.0737626661329797,0.0923620752208483,0.955719557195572,0.931226970173354,0.98021214421779,0.0476190476190476,0.0223573535922974,0.0728807416457978,0,0,0,0,0,0,0.0142348754448399,0.000384597419355402,0.0280851534703243,0.138181818181818,0.0973954512904467,0.17896818507319,0.100401606425703,0.0630728876604326,0.137730325190973,0.0647773279352227,0.0340822569259282,0.0954723989445172,0.0981937602627258,0.0876242952330132,0.108763225292438,0.354515050167224,0.300293379397023,0.408736720937426,39940
"2020/08/05","ESMRO","Rivas Barrio Oeste",168,3568,3414.15358744395,3047.73513212225,3780.57204276564,36.2870987280436,0,77.3304045172177,0,0,0,164.414186193794,75.2234057595701,253.604966628017,502.389937106918,347.682820731408,657.097053482429,237.074022346369,124.713221652783,349.434823039955,0.0854820627802691,0.076307840063151,0.0946562854973871,0.945762711864407,0.919917674758871,0.971607748969943,0.0443686006825939,0.0207911224640687,0.067946078901119,0.00983606557377049,0,0.0209115423517105,0,0,0,0.0295081967213115,0.010516426715455,0.0484999667271679,0.135593220338983,0.0965257624286361,0.17466067824933,0.100371747211896,0.0644622573004568,0.136281237123335,0.0636704119850187,0.0343833596016143,0.0929574643684232,0.103715170278638,0.0932006129060544,0.114229727651221,0.352380952380952,0.29962653471028,0.405135370051625,39940
"2020/08/06","ESMRO","Rivas Barrio Oeste",102,2010,3835.03482587065,3320.61442489905,4349.45522684224,82.9060716139076,1.74398248122983,164.068160746585,0,0,0,89.4012311135982,1.88774385695657,176.91471837024,445.013927576602,251.071133214546,638.956721938657,135.313382269904,27.2256787252052,243.401085814603,0.0960199004975124,0.0831400707285692,0.108899730266456,0.957894736842105,0.92933867084002,0.986450802844191,0.0217391304347826,0.000668011196227496,0.0428102496733377,0.0207253886010363,0.000626454546352205,0.0408243226557203,0,0,0,0.0414507772020725,0.0133289856226044,0.0695725687815407,0.108108108108108,0.0633628035593551,0.152853412656861,0.0601092896174863,0.0256717574028528,0.0945468218321199,0.0331491712707182,0.00706813288946066,0.0592302096519758,0.106394411606663,0.092385407872039,0.120403415341287,0.325842696629214,0.256989722047186,0.394695671211241,39940
"2020/08/07","ESMRO","Rivas Barrio Oeste",89,1648,4023.08252427184,3442.72116880268,4603.44387974101,100.477987421384,2.1353045062565,198.820670336511,0,0,0,55.280276816609,0,131.84038603038,494.783207157605,267.629445455938,721.936968859272,139.163763066202,17.3962823587563,260.931243773648,0.100728155339806,0.0861973252078787,0.115258985471733,0.96319018404908,0.934283908663993,0.992096459434167,0.0127388535031847,0,0.0302808677474526,0.0240963855421687,0.000768602803308979,0.0474241682810284,0,0,0,0.036144578313253,0.00775090537402389,0.0645382512524821,0.113924050632911,0.0643832830803555,0.163464818185467,0.0769230769230769,0.035107984353125,0.118738169493029,0.032051282051282,0.00441149649064145,0.0596910676119227,0.113890717577354,0.0979151236954496,0.129866311459257,0.366013071895425,0.289683851713734,0.442342292077116,39940
"2020/08/08","ESMRO","Rivas Barrio Oeste",89,1670,3946.16766467066,3374.56839278651,4517.76693655481,99.2298136645963,2.10725759348009,196.352369735712,0,0,0,0,0,0,485.428764348413,262.543180502895,708.314348193931,137.250859106529,17.1542722713518,257.347445941707,0.0988023952095808,0.0844909462390212,0.113113844180141,0.975308641975309,0.951412152338095,0.999205131612522,0,0,0,0.0242424242424242,0.000775017084519779,0.0477098314003287,0,0,0,0.0303030303030303,0.00414728087356022,0.0564587797325004,0.114649681528662,0.0648137861903611,0.164485576866964,0.0709677419354839,0.0305447800250362,0.111390703845932,0.032258064516129,0.00444292930207531,0.0600731997301828,0.109669046073978,0.0940676112574363,0.12527048089052,0.355704697986577,0.278837289457221,0.432572106515934,39940
