"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1","2020/03/12",1,0,1,0,NA,NA,NA,82003882
"2","2020/03/13",1,0,2,0,0,NA,NA,82003882
"3","2020/03/16",16,0,18,0,0,NA,NA,82003882
"4","2020/03/17",29,0,47,0,0,NA,NA,82003882
"5","2020/03/18",51,0,98,0,0,0,NA,82003882
"6","2020/03/19",93,1,191,1,3.2745277667485e-05,6.8132501305505e-06,0.000157377637540816,82003882
"7","2020/03/20",168,3,359,4,0.000103585610370736,7.45777543729301e-05,0.000143876398077396,82003882
"8","2020/03/21",311,5,670,9,0.000204348370705496,0.000176892743687838,0.000236065401776352,82003882
"9","2020/03/22",277,12,947,21,0.000337135780311669,0.000318287556216552,0.000357100150937183,82003882
"10","2020/03/23",289,9,1236,30,0.000341256263529337,0.000325651418484113,0.000357608874974655,82003882
"11","2020/03/24",293,7,1529,37,0.000312684948840886,0.000299640572270261,0.00032629719163479,82003882
"12","2020/03/25",343,7,1872,44,0.000298219258369618,0.000286984102187878,0.00030989426029008,82003882
"13","2020/03/26",561,15,2433,59,0.000363814117405202,0.000353240555118347,0.000374704178513651,82003882
"14","2020/03/27",1196,16,3629,75,0.000503891060446556,0.000491984042808676,0.000516086252205327,82003882
"15","2020/03/28",2069,17,5698,92,0.000716900365288183,0.000702592513819962,0.000731499587087869,82003882
"16","2020/03/29",1704,16,7402,108,0.000792109561180617,0.00077810337246856,0.000806367867193768,82003882
"17","2020/03/30",1815,23,9217,131,0.000854574807952513,0.00084161441881043,0.000867734779804873,82003882
"18","2020/03/31",1610,37,10827,168,0.000931231601187977,0.000919736692990405,0.000942870173235734,82003882
"19","2020/04/01",2704,46,13531,214,0.00110223562942092,0.00109104570559012,0.00111354031874202,82003882
"20","2020/04/02",2148,63,15679,277,0.00126260370344628,0.00125214170754644,0.00127315311226236,82003882
"21","2020/04/03",2456,79,18135,356,0.0014649807036544,0.00145491910016455,0.00147511188892703,82003882
"22","2020/04/04",2786,69,20921,425,0.00160928234210418,0.00159949594619294,0.00161912861534437,82003882
"23","2020/04/05",3013,76,23934,501,0.00176415487277324,0.00175452194056827,0.0017738406931073,82003882
"24","2020/04/06",3135,73,27069,574,0.00188766840214352,0.00187818848978681,0.00189719616312605,82003882
"25","2020/04/07",3148,75,30217,649,0.00199407858764017,0.00198476020857551,0.00200344071616536,82003882
"26","2020/04/08",3892,76,34109,725,0.00213036343474036,0.00212100649762524,0.00213976165049949,82003882
"27","2020/04/09",4117,87,38226,812,0.00228946065908489,0.0022800026133964,0.00229895793921448,82003882
"28","2020/04/10",4056,96,42282,908,0.00244486601205288,0.002435332963663,0.00245443637731605,82003882
"29","2020/04/11",4747,98,47029,1006,0.00262042325072406,0.00261070656792149,0.00263017609765394,82003882
"30","2020/04/12",5138,95,52167,1101,0.00278543551819118,0.00277553109922752,0.00279537528084636,82003882
"31","2020/04/13",4789,97,56956,1198,0.00291365689536041,0.00290367773255177,0.00292367035387937,82003882
"32","2020/04/14",4093,98,61049,1296,0.00299044693300417,0.0029805410633065,0.00300038572499763,82003882
"33","2020/04/15",4062,107,65111,1403,0.00307472988512014,0.00306487017290302,0.00308462131611146,82003882
"34","2020/04/16",4281,115,69392,1518,0.00317941360869011,0.00316952920367524,0.00318932883893365,82003882
"35","2020/04/17",4801,125,74193,1643,0.00332267199251879,0.00331264611788239,0.00333272821092227,82003882
"36","2020/04/18",4353,126,78546,1769,0.00344186030758347,0.00343174744873514,0.0034520029675508,82003882
"37","2020/04/19",3783,121,82329,1890,0.00352218684191039,0.0035120704507321,0.00353233237298548,82003882
"38","2020/04/20",3977,127,86306,2017,0.00362030906038481,0.00361013184122118,0.00363051496985518,82003882
"39","2020/04/21",4674,123,90980,2140,0.00374007472643495,0.00372975600752838,0.00375042199304267,82003882
"40","2020/04/22",4611,119,95591,2259,0.00384981018461605,0.00383936217899065,0.00386028662226127,82003882
"41","2020/04/23",3083,117,98674,2376,0.00389450515222155,0.00388409130910884,0.00390494691644109,82003882
"42","2020/04/24",3116,115,101790,2491,0.00393947611368984,0.00392908228460546,0.0039498974381727,82003882
"43","2020/04/25",3122,109,104912,2600,0.0039804724777628,0.00397009313007351,0.00399087896105192,82003882
"44","2020/04/26",2861,106,107773,2706,0.00401390997401649,0.00400355429558506,0.00402429243866533,82003882
"45","2020/04/27",2357,99,110130,2805,0.00402611886766679,0.00401582784502073,0.00403643626224691,82003882
"46","2020/04/28",2131,95,112261,2900,0.00403319273217713,0.00402296996163135,0.00404344147980915,82003882
"47","2020/04/29",2392,92,114653,2992,0.00405467780326279,0.00404447952457718,0.00406490179721968,82003882
"48","2020/04/30",2936,89,117589,3081,0.00409979011757515,0.00408955119135695,0.00411005467878487,82003882
"49","2020/05/01",2615,93,120204,3174,0.00414580118708828,0.00413552030934428,0.00415610762303035,82003882
"50","2020/05/02",2188,84,122392,3258,0.00417082442728168,0.00416054398365289,0.00418113027324287,82003882
"51","2020/05/03",1983,78,124375,3336,0.0041865877691047,0.00417632379348715,0.00419687697006412,82003882
"52","2020/05/04",1670,61,126045,3397,0.00417659672557625,0.00416639809745476,0.00418682031819061,82003882
"53","2020/05/05",1614,64,127659,3461,0.00417504528010907,0.00416489206035422,0.00418522325149491,82003882
"54","2020/05/06",1832,59,129491,3520,0.00418108715631961,0.00417095627545497,0.00419124264419048,82003882
"55","2020/05/07",2253,64,131744,3584,0.00421245013661815,0.0042022827027387,0.00422264217063019,82003882
"56","2020/05/08",1977,57,133721,3641,0.00423144052451667,0.00422126123561276,0.00424164436009439,82003882
"57","2020/05/09",1848,48,135569,3689,0.00423977881402433,0.0042296070901528,0.00424997499973459,82003882
"58","2020/05/10",1546,50,137115,3739,0.00424454240891591,0.0042343874789459,0.00425472169249153,82003882
