"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1","2019/12/31",0,0,0,0,NA,NA,NA,200963603
"2","2020/01/01",0,0,0,0,NA,NA,NA,200963603
"3","2020/01/02",0,0,0,0,NA,NA,NA,200963603
"4","2020/01/03",0,0,0,0,NA,NA,NA,200963603
"5","2020/01/04",0,0,0,0,NA,NA,NA,200963603
"6","2020/01/05",0,0,0,0,NA,NA,NA,200963603
"7","2020/01/06",0,0,0,0,NA,NA,NA,200963603
"8","2020/01/07",0,0,0,0,NA,NA,NA,200963603
"9","2020/01/08",0,0,0,0,NA,NA,NA,200963603
"10","2020/01/09",0,0,0,0,NA,NA,NA,200963603
"11","2020/01/10",0,0,0,0,NA,NA,NA,200963603
"12","2020/01/11",0,0,0,0,NA,NA,NA,200963603
"13","2020/01/12",0,0,0,0,NA,NA,NA,200963603
"14","2020/01/13",0,0,0,0,NA,NA,NA,200963603
"15","2020/01/14",0,0,0,0,NA,NA,NA,200963603
"16","2020/01/15",0,0,0,0,NA,NA,NA,200963603
"17","2020/01/16",0,0,0,0,NA,NA,NA,200963603
"18","2020/01/17",0,0,0,0,NA,NA,NA,200963603
"19","2020/01/18",0,0,0,0,NA,NA,NA,200963603
"20","2020/01/19",0,0,0,0,NA,NA,NA,200963603
"21","2020/01/20",0,0,0,0,NA,NA,NA,200963603
"22","2020/01/21",0,0,0,0,NA,NA,NA,200963603
"23","2020/01/22",0,0,0,0,NA,NA,NA,200963603
"24","2020/01/23",0,0,0,0,NA,NA,NA,200963603
"25","2020/01/24",0,0,0,0,NA,NA,NA,200963603
"26","2020/01/25",0,0,0,0,NA,NA,NA,200963603
"27","2020/01/26",0,0,0,0,NA,NA,NA,200963603
"28","2020/01/27",0,0,0,0,NA,NA,NA,200963603
"29","2020/01/28",0,0,0,0,NA,NA,NA,200963603
"30","2020/01/29",0,0,0,0,NA,NA,NA,200963603
"31","2020/01/30",0,0,0,0,NA,NA,NA,200963603
"32","2020/01/31",0,0,0,0,NA,NA,NA,200963603
"33","2020/02/01",0,0,0,0,NA,NA,NA,200963603
"34","2020/02/02",0,0,0,0,NA,NA,NA,200963603
"35","2020/02/03",0,0,0,0,NA,NA,NA,200963603
"36","2020/02/04",0,0,0,0,NA,NA,NA,200963603
"37","2020/02/05",0,0,0,0,NA,NA,NA,200963603
"38","2020/02/06",0,0,0,0,NA,NA,NA,200963603
"39","2020/02/07",0,0,0,0,NA,NA,NA,200963603
"40","2020/02/08",0,0,0,0,NA,NA,NA,200963603
"41","2020/02/09",0,0,0,0,NA,NA,NA,200963603
"42","2020/02/10",0,0,0,0,NA,NA,NA,200963603
"43","2020/02/11",0,0,0,0,NA,NA,NA,200963603
"44","2020/02/12",0,0,0,0,NA,NA,NA,200963603
"45","2020/02/13",0,0,0,0,NA,NA,NA,200963603
"46","2020/02/14",0,0,0,0,NA,NA,NA,200963603
"47","2020/02/15",0,0,0,0,NA,NA,NA,200963603
"48","2020/02/16",0,0,0,0,NA,NA,NA,200963603
"49","2020/02/17",0,0,0,0,NA,NA,NA,200963603
"50","2020/02/18",0,0,0,0,NA,NA,NA,200963603
"51","2020/02/19",0,0,0,0,NA,NA,NA,200963603
"52","2020/02/20",0,0,0,0,NA,NA,NA,200963603
"53","2020/02/21",0,0,0,0,NA,NA,NA,200963603
