"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"9026","2020/03/22",1,0,1,0,NA,NA,NA,2.85949826671513e-07,0,3497117
"9025","2020/03/23",0,0,1,0,0,NA,NA,2.85949826671513e-07,0,3497117
"9024","2020/03/24",0,0,1,0,0,NA,NA,2.85949826671513e-07,0,3497117
"9023","2020/03/25",0,0,1,0,0,NA,NA,2.85949826671513e-07,0,3497117
"9022","2020/03/26",3,0,4,0,0,NA,NA,1.14379930668605e-06,0,3497117
"9021","2020/03/27",2,0,6,0,0,NA,NA,1.71569896002908e-06,0,3497117
"9020","2020/03/28",0,0,6,0,0,0,NA,1.71569896002908e-06,0,3497117
"9019","2020/03/29",0,0,6,0,0,0,NA,1.71569896002908e-06,0,3497117
"9018","2020/03/30",6,0,12,0,0,0,NA,3.43139792005815e-06,0,3497117
"9017","2020/03/31",0,0,12,0,0,0,NA,3.43139792005815e-06,0,3497117
"9016","2020/04/01",3,0,15,0,0,0,NA,4.28924740007269e-06,0,3497117
"9015","2020/04/02",3,0,18,0,0,0,NA,5.14709688008723e-06,0,3497117
"9014","2020/04/03",4,0,22,0,0,0,NA,6.00494636010176e-06,0,3497117
"9013","2020/04/04",0,0,22,0,0,0,NA,6.00494636010176e-06,0,3497117
"9012","2020/04/05",7,0,29,0,0,0,NA,8.00659514680235e-06,0,3497117
"9011","2020/04/06",0,0,29,0,0,0,NA,8.00659514680235e-06,0,3497117
"9010","2020/04/07",2,0,31,0,0,0,NA,7.72064532013084e-06,0,3497117
"9009","2020/04/08",0,0,31,0,0,0,NA,7.14874566678781e-06,0,3497117
"9008","2020/04/09",2,0,33,0,0,0,NA,7.72064532013084e-06,0,3497117
"9007","2020/04/10",0,0,33,0,0,0,NA,7.72064532013084e-06,0,3497117
"9006","2020/04/11",1,0,34,0,0,0,NA,6.29089618677328e-06,0,3497117
"9005","2020/04/12",0,0,34,0,0,0,NA,6.29089618677328e-06,0,3497117
"9004","2020/04/13",0,0,34,0,0,0,NA,5.43304670675874e-06,0,3497117
"9003","2020/04/14",0,0,34,0,0,0,NA,4.5751972267442e-06,0,3497117
"9002","2020/04/15",1,0,35,0,0,0,NA,3.71734774672966e-06,0,3497117
"9001","2020/04/16",0,0,35,0,0,0,NA,3.71734774672966e-06,0,3497117
"9000","2020/04/17",0,0,35,0,0,0,NA,1.71569896002908e-06,0,3497117
"8999","2020/04/18",0,0,35,0,0,0,NA,1.71569896002908e-06,0,3497117
"8998","2020/04/19",0,0,35,0,0,0,NA,1.14379930668605e-06,0,3497117
"8997","2020/04/20",4,0,39,0,0,0,NA,2.2875986133721e-06,0,3497117
"8996","2020/04/21",0,0,39,0,0,0,NA,1.71569896002908e-06,0,3497117
"8995","2020/04/22",0,0,39,0,0,0,NA,1.71569896002908e-06,0,3497117
"8994","2020/04/23",0,0,39,0,0,0,NA,1.42974913335756e-06,0,3497117
"8993","2020/04/24",0,0,39,0,0,0,NA,1.42974913335756e-06,0,3497117
"8992","2020/04/25",0,0,39,0,0,0,NA,1.42974913335756e-06,0,3497117
