"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1","2020/03/13",1,0,1,0,NA,NA,NA,2172578
"2","2020/03/15",0,0,1,0,0,NA,NA,2172578
"3","2020/03/16",0,0,1,0,0,NA,NA,2172578
"4","2020/03/17",0,0,1,0,0,NA,NA,2172578
"5","2020/03/18",0,0,1,0,0,NA,NA,2172578
"6","2020/03/19",2,0,3,0,0,NA,NA,2172578
"7","2020/03/20",0,0,3,0,0,NA,NA,2172578
"8","2020/03/21",0,1,3,1,0,NA,NA,2172578
"9","2020/03/22",0,0,3,1,0,NA,NA,2172578
"10","2020/03/23",3,0,6,1,0,NA,NA,2172578
"11","2020/03/24",0,0,6,1,0.000171521904887623,0.000171198121354532,0.000171846300785939,2172578
"12","2020/03/25",0,0,6,1,0.000134328580210177,0.000134075006870235,0.000134582633128231,2172578
"13","2020/03/26",0,0,6,1,0.000107884655597646,4.04138747003852e-05,0.000287997599827064,2172578
"14","2020/03/27",1,0,7,1,0.000104907537765514,3.92986385588828e-05,0.000280050197248759,2172578
"15","2020/03/28",0,0,7,1,8.99360959847358e-05,2.4301624825485e-05,0.000332837883024728,2172578
"16","2020/03/29",0,0,7,1,7.85395520042621e-05,2.12221656485199e-05,0.000290661251598533,2172578
"17","2020/03/30",0,0,7,1,6.99156269452031e-05,1.88918955938366e-05,0.000258745601618482,2172578
"18","2020/03/31",0,0,7,1,6.33798006593156e-05,1.45451225225431e-05,0.000276174994427771,2172578
"19","2020/04/01",9,0,16,1,0.000133412345796994,3.06169930395947e-05,0.00058133906187452,2172578
"20","2020/04/02",2,0,18,1,0.000135639378618772,3.11280780369837e-05,0.000591043270009395,2172578
"21","2020/04/03",0,0,18,1,0.00011679121941293,2.4300535759464e-05,0.000561312271752975,2172578
"22","2020/04/04",3,0,21,1,0.000115504053390564,2.25127720947023e-05,0.000592605223982599,2172578
"23","2020/04/05",0,0,21,1,9.84835829693498e-05,1.83201284454147e-05,0.000529418565125199,2172578
"24","2020/04/06",0,0,21,1,8.49296372104484e-05,1.52554012803171e-05,0.000472818980252249,2172578
"25","2020/04/07",0,0,21,1,7.46238612393193e-05,1.30442652939354e-05,0.000426909491702396,2172578
"26","2020/04/08",9,0,30,1,9.55436496679692e-05,1.63412684372798e-05,0.000558621812432277,2172578
"27","2020/04/09",3,0,33,1,9.47304903636109e-05,1.56814699313544e-05,0.000572259223389981,2172578
