"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1","2019/12/31",0,0,0,0,NA,NA,NA,127575529
"2","2020/01/01",0,0,0,0,NA,NA,NA,127575529
"3","2020/01/02",0,0,0,0,NA,NA,NA,127575529
"4","2020/01/03",0,0,0,0,NA,NA,NA,127575529
"5","2020/01/04",0,0,0,0,NA,NA,NA,127575529
"6","2020/01/05",0,0,0,0,NA,NA,NA,127575529
"7","2020/01/06",0,0,0,0,NA,NA,NA,127575529
"8","2020/01/07",0,0,0,0,NA,NA,NA,127575529
"9","2020/01/08",0,0,0,0,NA,NA,NA,127575529
"10","2020/01/09",0,0,0,0,NA,NA,NA,127575529
"11","2020/01/10",0,0,0,0,NA,NA,NA,127575529
"12","2020/01/11",0,0,0,0,NA,NA,NA,127575529
"13","2020/01/12",0,0,0,0,NA,NA,NA,127575529
"14","2020/01/13",0,0,0,0,NA,NA,NA,127575529
"15","2020/01/14",0,0,0,0,NA,NA,NA,127575529
"16","2020/01/15",0,0,0,0,NA,NA,NA,127575529
"17","2020/01/16",0,0,0,0,NA,NA,NA,127575529
"18","2020/01/17",0,0,0,0,NA,NA,NA,127575529
"19","2020/01/18",0,0,0,0,NA,NA,NA,127575529
"20","2020/01/19",0,0,0,0,NA,NA,NA,127575529
"21","2020/01/20",0,0,0,0,NA,NA,NA,127575529
"22","2020/01/21",0,0,0,0,NA,NA,NA,127575529
"23","2020/01/22",0,0,0,0,NA,NA,NA,127575529
"24","2020/01/23",0,0,0,0,NA,NA,NA,127575529
"25","2020/01/24",0,0,0,0,NA,NA,NA,127575529
"26","2020/01/25",0,0,0,0,NA,NA,NA,127575529
"27","2020/01/26",0,0,0,0,NA,NA,NA,127575529
"28","2020/01/27",0,0,0,0,NA,NA,NA,127575529
"29","2020/01/28",0,0,0,0,NA,NA,NA,127575529
"30","2020/01/29",0,0,0,0,NA,NA,NA,127575529
"31","2020/01/30",0,0,0,0,NA,NA,NA,127575529
"32","2020/01/31",0,0,0,0,NA,NA,NA,127575529
"33","2020/02/01",0,0,0,0,NA,NA,NA,127575529
"34","2020/02/02",0,0,0,0,NA,NA,NA,127575529
"35","2020/02/03",0,0,0,0,NA,NA,NA,127575529
"36","2020/02/04",0,0,0,0,NA,NA,NA,127575529
"37","2020/02/05",0,0,0,0,NA,NA,NA,127575529
"38","2020/02/06",0,0,0,0,NA,NA,NA,127575529
"39","2020/02/07",0,0,0,0,NA,NA,NA,127575529
"40","2020/02/08",0,0,0,0,NA,NA,NA,127575529
"41","2020/02/09",0,0,0,0,NA,NA,NA,127575529
"42","2020/02/10",0,0,0,0,NA,NA,NA,127575529
"43","2020/02/11",0,0,0,0,NA,NA,NA,127575529
"44","2020/02/12",0,0,0,0,NA,NA,NA,127575529
"45","2020/02/13",0,0,0,0,NA,NA,NA,127575529
"46","2020/02/14",0,0,0,0,NA,NA,NA,127575529
"47","2020/02/15",0,0,0,0,NA,NA,NA,127575529
"48","2020/02/16",0,0,0,0,NA,NA,NA,127575529
"49","2020/02/17",0,0,0,0,NA,NA,NA,127575529
"50","2020/02/18",0,0,0,0,NA,NA,NA,127575529
"51","2020/02/19",0,0,0,0,NA,NA,NA,127575529
"52","2020/02/20",0,0,0,0,NA,NA,NA,127575529
"53","2020/02/21",0,0,0,0,NA,NA,NA,127575529
"54","2020/02/22",0,0,0,0,NA,NA,NA,127575529
