"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","population"
"1",NA,27,0,27,0,NA,NA,NA,1433783692
"2",NA,0,0,27,0,0,NA,NA,1433783692
"3",NA,0,0,27,0,0,0,NA,1433783692
"4",NA,17,0,44,0,0,0,NA,1433783692
"5",NA,0,0,44,0,0,0,NA,1433783692
"6",NA,15,0,59,0,0,0,NA,1433783692
"7",NA,0,0,59,0,0,0,NA,1433783692
"8",NA,0,0,59,0,0,0,NA,1433783692
"9",NA,0,0,59,0,0,0,NA,1433783692
"10",NA,0,0,59,0,0,0,NA,1433783692
"11",NA,0,0,59,0,0,0,NA,1433783692
"12",NA,0,1,59,1,1.0067482090129e-07,1.51097399790004e-08,6.70787159646236e-07,1433783692
"13",NA,0,0,59,1,9.1798669989954e-08,1.37214227500357e-08,6.141488361258e-07,1433783692
"14",NA,0,0,59,1,8.50663983474731e-08,1.26485503919315e-08,5.72104462850303e-07,1433783692
"15",NA,0,0,59,1,7.98310162639974e-08,1.18342229446727e-08,5.38522147802825e-07,1433783692
"16",NA,0,1,59,2,1.51347580314422e-07,5.96173097978836e-08,3.84218780496591e-07,1433783692
"17",NA,0,0,59,2,1.44628286761629e-07,5.68310195734584e-08,3.68062045843937e-07,1433783692
"18",NA,4,0,63,2,1.48548073498597e-07,5.82416383775522e-08,3.7887893876024e-07,1433783692
"19",NA,17,0,80,2,1.82168419477207e-07,7.13493049152185e-08,4.65110810739594e-07,1433783692
"20",NA,136,1,216,3,7.09689743045515e-07,3.84603818550104e-07,1.30955416220964e-06,1433783692
"21",NA,19,0,235,3,7.0569837675712e-07,3.81139363226585e-07,1.30663543839099e-06,1433783692
"22",NA,151,3,386,6,1.96123557912787e-06,1.4589035765748e-06,2.63653133668209e-06,1433783692
"23",NA,140,11,526,17,6.07130582675564e-06,5.54488890397194e-06,6.64769936429074e-06,1433783692
"24",NA,97,0,623,17,5.49679040789477e-06,4.98875776622695e-06,6.05655880765999e-06,1433783692
"25",NA,259,9,882,26,8.97592961339708e-06,8.43564513921328e-06,9.55081811705659e-06,1433783692
"26",NA,441,15,1323,41,1.60307479934129e-05,1.54294225896352e-05,1.66555086384725e-05,1433783692
"27",NA,665,15,1988,56,2.44837645767119e-05,2.37989740638817e-05,2.51882592181823e-05,1433783692
"28",NA,787,25,2775,81,3.58484076194877e-05,3.51419329772906e-05,3.65690848503811e-05,1433783692
"29",NA,1753,25,4528,106,5.44917856185787e-05,5.36281653261777e-05,5.53693135284584e-05,1433783692
"30",NA,1466,26,5994,132,6.26368362472216e-05,6.1786671239867e-05,6.34986992555403e-05,1433783692
"31",NA,1740,38,7734,170,7.17838976658695e-05,7.09771440072363e-05,7.25998211984786e-05,1433783692
"32",NA,1980,43,9714,213,7.92509715796376e-05,7.84932904704725e-05,8.00159664433892e-05,1433783692
"33",NA,2095,46,11809,259,8.44463360876907e-05,8.37411282645426e-05,8.51574826661926e-05,1433783692
