"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_low","p_cases_high","p_cases_active","p_cases_active_undetected","population"
"30249","2020/04/26",6,0,6,0,NA,NA,NA,1.03011719299932e-05,0,582458
"30248","2020/04/27",0,0,6,0,0,NA,NA,1.03011719299932e-05,0,582458
"30247","2020/04/28",0,0,6,0,0,NA,NA,1.03011719299932e-05,0,582458
"30246","2020/04/29",0,0,6,0,0,0,NA,1.03011719299932e-05,0,582458
"30245","2020/04/30",0,0,6,0,0,0,NA,1.03011719299932e-05,0,582458
"30244","2020/05/01",0,0,6,0,0,0,NA,1.03011719299932e-05,0,582458
"30243","2020/05/02",0,0,6,0,0,0,NA,1.03011719299932e-05,0,582458
"30242","2020/05/03",0,0,6,0,0,0,NA,1.03011719299932e-05,0,582458
"30241","2020/05/04",0,0,6,0,0,0,NA,1.03011719299932e-05,0,582458
"30240","2020/05/05",0,0,6,0,0,0,NA,1.03011719299932e-05,0,582458
"30239","2020/05/06",0,0,6,0,0,0,NA,1.03011719299932e-05,0,582458
"30238","2020/05/07",0,0,6,0,0,0,NA,1.03011719299932e-05,0,582458
"30237","2020/05/08",0,0,6,0,0,0,NA,0,0,582458
"30236","2020/05/09",0,0,6,0,0,0,NA,0,0,582458
"30235","2020/05/10",0,0,6,0,0,0,NA,0,0,582458
"30234","2020/05/11",0,0,6,0,0,0,NA,0,0,582458
"30233","2020/05/12",0,0,6,0,0,0,NA,0,0,582458
"30232","2020/05/13",0,0,6,0,0,0,NA,0,0,582458
"30231","2020/05/14",0,0,6,0,0,0,NA,0,0,582458
"30230","2020/05/15",0,0,6,0,0,0,NA,0,0,582458
"30229","2020/05/16",0,0,6,0,0,0,NA,0,0,582458
"30228","2020/05/17",0,0,6,0,0,0,NA,0,0,582458
"30227","2020/05/18",0,0,6,0,0,0,NA,0,0,582458
"30226","2020/05/19",0,0,6,0,0,0,NA,0,0,582458
"30225","2020/05/20",0,0,6,0,0,0,NA,0,0,582458
"30224","2020/05/21",0,0,6,0,0,0,NA,0,0,582458
"30223","2020/05/22",0,0,6,0,0,0,NA,0,0,582458
"30222","2020/05/23",0,0,6,0,0,0,NA,0,0,582458
"30221","2020/05/24",0,0,6,0,0,0,NA,0,0,582458
"30220","2020/05/25",0,0,6,0,0,0,NA,0,0,582458
"30219","2020/05/26",0,0,6,0,0,0,NA,0,0,582458
"30218","2020/05/27",0,0,6,0,0,0,NA,0,0,582458
"30217","2020/05/28",0,0,6,0,0,0,NA,0,0,582458
"30216","2020/05/29",0,0,6,0,0,0,NA,0,0,582458
"30215","2020/05/30",17,1,23,1,0.00050562795160204,9.85514058163591e-05,0.00259417532731772,0.000373725007705856,0.000344538353904208,582458
"30214","2020/05/31",0,0,23,1,0.000481312516606938,9.38121102647365e-05,0.00246942252965803,0.000373725007705856,0.000344538353904208,582458
"30213","2020/06/01",0,0,23,1,0.000422708509023261,7.86331482546284e-05,0.00227235571214905,0.000373725007705856,0.000344538353904208,582458
"30212","2020/06/02",0,0,23,1,0.000361395414805089,6.49152905252257e-05,0.00201195503841101,0.000373725007705856,0.000344538353904208,582458
"30211","2020/06/03",0,0,23,1,0.000311508273324015,5.44517060764633e-05,0.00178208198312547,0.000373725007705856,0.000344538353904208,582458
"30210","2020/06/04",0,0,23,1,0.000273788740714932,4.68273435510955e-05,0.00160077999001749,0.000373725007705856,0.000344538353904208,582458
"30209","2020/06/05",0,0,23,1,0.000245583634374176,4.06533563089281e-05,0.00148355085405786,0.000373725007705856,0.000344538353904208,582458
"30208","2020/06/06",0,0,23,1,0.000224271819497074,3.66619170362623e-05,0.00137193723314518,0.000373725007705856,0.000344538353904208,582458
"30207","2020/06/07",0,0,23,1,0.000207892710516064,3.36203869793515e-05,0.00128551105352416,0.000373725007705856,0.000344538353904208,582458
"30206","2020/06/08",0,0,23,1,0.00019507631007136,3.1254644492143e-05,0.00121757157598206,0.000373725007705856,0.000344538353904208,582458
"30205","2020/06/09",0,0,23,1,0.000184876159822091,2.96204016171842e-05,0.00115390719249175,0.000373725007705856,0.000344538353904208,582458
"30204","2020/06/10",0,0,23,1,0.000176632845242379,2.80695052330408e-05,0.00111149668508206,0.000373725007705856,0.000344538353904208,582458
"30203","2020/06/11",0,0,23,1,0.000169879676151656,2.68024961542458e-05,0.00107673196568373,0,0,582458
"30202","2020/06/12",0,0,23,1,0.000164280401131832,2.59190794290371e-05,0.00104124262090114,0,0,582458
"30201","2020/06/13",0,0,23,1,0.000159588364635072,2.50180402458482e-05,0.00101800324392408,0,0,582458
"30200","2020/06/14",0,0,23,1,0.000155619513695931,2.43958590940314e-05,0.000992686215706295,0,0,582458
"30199","2020/06/15",0,0,23,1,0.000152234307137874,2.37287935758661e-05,0.000976673516740414,0,0,582458
"30198","2020/06/16",0,0,23,1,0.000149325392411059,2.32753804236003e-05,0.000958011100695368,0,0,582458
"30197","2020/06/17",0,0,23,1,0.000146809069102866,2.2883160578594e-05,0.000941867391823996,0,0,582458
"30196","2020/06/18",0,0,23,1,0.00014461927734751,2.24258681870637e-05,0.000932616530430721,0,0,582458
"30195","2020/06/19",0,0,23,1,0.000142703297132789,2.21287603565418e-05,0.00092026081373098,0,0,582458
"30194","2020/06/20",2,0,25,1,0.000153281114724071,2.37690447457306e-05,0.00098847473183683,1.22624891779257e-05,8.82876520126124e-06,582458
"30193","2020/06/21",0,0,25,1,0.000151435126650894,2.33734594275526e-05,0.00098113835715475,1.22624891779257e-05,8.82876520126124e-06,582458
"30192","2020/06/22",0,0,25,1,0.000149324454147815,2.30476848255391e-05,0.000967463446993803,1.22624891779257e-05,8.82876520126124e-06,582458
"30191","2020/06/23",0,0,25,1,0.000147132380061497,2.2709346186071e-05,0.000953261141258161,1.22624891779257e-05,8.82876520126124e-06,582458
"30190","2020/06/24",0,0,25,1,0.000145017938529782,2.23829898482353e-05,0.000939561811805298,1.22624891779257e-05,8.82876520126124e-06,582458
"30189","2020/06/25",0,0,25,1,0.000143060281939862,2.19873548608813e-05,0.000930818845568602,1.22624891779257e-05,8.82876520126124e-06,582458
"30188","2020/06/26",0,0,25,1,0.000141286785339818,2.17147809601385e-05,0.000919279625629373,1.22624891779257e-05,8.82876520126124e-06,582458
"30187","2020/06/27",0,0,25,1,0.000139697959595036,2.14705896654693e-05,0.000908941962893677,1.22624891779257e-05,8.82876520126124e-06,582458
"30186","2020/06/28",183,0,208,1,0.00115050637449808,0.000176824703424178,0.00748574657346056,0.00102448684751037,0.000706867379668913,582458
"30185","2020/06/29",0,0,208,1,0.00101352013655224,0.000153650409837572,0.00668545608360416,0.00102448684751037,0.000706867379668913,582458
"30184","2020/06/30",0,0,208,1,0.000752977668434953,0.000112145051482967,0.00505573239000966,0.00102448684751037,0.000706867379668913,582458
"30183","2020/07/01",172,0,380,1,0.0010125244960495,0.000148415329881399,0.00690768167897186,0.00148278740888015,0.00086986767904555,582458
"30182","2020/07/02",81,0,461,1,0.000910869776647143,0.000132108236378872,0.00628033325363435,0.00163056928392873,0.000882017457015884,582458
