"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,8414240,0.0416666666666667,0.0416666666666667,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0317703260781722,0.0317703260781722,0.00205396613360208,0.00205396613360208,47026208,0.0623409248669553,0.053438180101015,0.0151745068285281,0.00909090909090909,30253,0.0484966444628181,0.0481635115408427,0.00606557510006084,0.00536258721526683,1281,0.06177853115865,0.053223908190519,0.0148044763362288,0.00893945414314802
"2","ES","ESAN","ESH",521870,NA,NA,NA,NA,0,8414240,0.0416666666666667,0.0416666666666667,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0317703260781722,0.0317703260781722,0.00205396613360208,0.00205396613360208,47026208,0.0623409248669553,0.053438180101015,0.0151745068285281,0.00909090909090909,30253,0.0484966444628181,0.0481635115408427,0.00606557510006084,0.00536258721526683,1281,0.06177853115865,0.053223908190519,0.0148044763362288,0.00893945414314802
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,8414240,0.0416666666666667,0.0416666666666667,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0317703260781722,0.0317703260781722,0.00205396613360208,0.00205396613360208,47026208,0.0623409248669553,0.053438180101015,0.0151745068285281,0.00909090909090909,30253,0.0484966444628181,0.0481635115408427,0.00606557510006084,0.00536258721526683,1281,0.06177853115865,0.053223908190519,0.0148044763362288,0.00893945414314802
"4","ES","ESAN","ESMA",1661785,0.1,0.1,0.02,0.02,50,8414240,0.0416666666666667,0.0416666666666667,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0317703260781722,0.0317703260781722,0.00205396613360208,0.00205396613360208,47026208,0.0623409248669553,0.053438180101015,0.0151745068285281,0.00909090909090909,30253,0.0484966444628181,0.0481635115408427,0.00606557510006084,0.00536258721526683,1281,0.06177853115865,0.053223908190519,0.0148044763362288,0.00893945414314802
"5","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,8414240,0.0416666666666667,0.0416666666666667,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0317703260781722,0.0317703260781722,0.00205396613360208,0.00205396613360208,47026208,0.0623409248669553,0.053438180101015,0.0151745068285281,0.00909090909090909,30253,0.0484966444628181,0.0481635115408427,0.00606557510006084,0.00536258721526683,1281,0.06177853115865,0.053223908190519,0.0148044763362288,0.00893945414314802
"6","ES","ESAN","ESCA",1240155,0,0,NA,NA,20,8414240,0.0416666666666667,0.0416666666666667,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0317703260781722,0.0317703260781722,0.00205396613360208,0.00205396613360208,47026208,0.0623409248669553,0.053438180101015,0.0151745068285281,0.00909090909090909,30253,0.0484966444628181,0.0481635115408427,0.00606557510006084,0.00536258721526683,1281,0.06177853115865,0.053223908190519,0.0148044763362288,0.00893945414314802
"7","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,8414240,0.0416666666666667,0.0416666666666667,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0317703260781722,0.0317703260781722,0.00205396613360208,0.00205396613360208,47026208,0.0623409248669553,0.053438180101015,0.0151745068285281,0.00909090909090909,30253,0.0484966444628181,0.0481635115408427,0.00606557510006084,0.00536258721526683,1281,0.06177853115865,0.053223908190519,0.0148044763362288,0.00893945414314802
"8","ES","ESAN","ESSE",1942389,0.0125,0.0125,0,0,80,8414240,0.0416666666666667,0.0416666666666667,0,0,120,0.0226352424580235,0.0226352424580235,0.0039499348723117,0.0039499348723117,130,0.0317703260781722,0.0317703260781722,0.00205396613360208,0.00205396613360208,47026208,0.0623409248669553,0.053438180101015,0.0151745068285281,0.00909090909090909,30253,0.0484966444628181,0.0481635115408427,0.00606557510006084,0.00536258721526683,1281,0.06177853115865,0.053223908190519,0.0148044763362288,0.00893945414314802
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,1319291,0.04,0.04,0,0,50,0.21427118575286,0.113025230976335,0,0,102,0.156945137807841,0.0890037734183301,0,0,47026208,0.0623409248669553,0.053438180101015,0.0151745068285281,0.00909090909090909,30253,0.0484966444628181,0.0481635115408427,0.00606557510006084,0.00536258721526683,1281,0.06177853115865,0.053223908190519,0.0148044763362288,0.00893945414314802
"10","ES","ESAR","ESZ",964693,0.288461538461538,0.15,0,0,52,1319291,0.04,0.04,0,0,50,0.21427118575286,0.113025230976335,0,0,102,0.156945137807841,0.0890037734183301,0,0,47026208,0.0623409248669553,0.053438180101015,0.0151745068285281,0.00909090909090909,30253,0.0484966444628181,0.0481635115408427,0.00606557510006084,0.00536258721526683,1281,0.06177853115865,0.053223908190519,0.0148044763362288,0.00893945414314802
