"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,8414240,0.00617283950617284,0.00666666666666667,0,0,162,0,0,0,0,0,0.00617283950617284,0.00666666666666667,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"2","ES","ESAN","ESH",521870,NA,NA,NA,NA,0,8414240,0.00617283950617284,0.00666666666666667,0,0,162,0,0,0,0,0,0.00617283950617284,0.00666666666666667,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,8414240,0.00617283950617284,0.00666666666666667,0,0,162,0,0,0,0,0,0.00617283950617284,0.00666666666666667,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"4","ES","ESAN","ESMA",1661785,NA,NA,NA,NA,0,8414240,0.00617283950617284,0.00666666666666667,0,0,162,0,0,0,0,0,0.00617283950617284,0.00666666666666667,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"5","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,8414240,0.00617283950617284,0.00666666666666667,0,0,162,0,0,0,0,0,0.00617283950617284,0.00666666666666667,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"6","ES","ESAN","ESCA",1240155,NA,NA,NA,NA,0,8414240,0.00617283950617284,0.00666666666666667,0,0,162,0,0,0,0,0,0.00617283950617284,0.00666666666666667,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"7","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,8414240,0.00617283950617284,0.00666666666666667,0,0,162,0,0,0,0,0,0.00617283950617284,0.00666666666666667,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"8","ES","ESAN","ESSE",1942389,NA,NA,NA,NA,0,8414240,0.00617283950617284,0.00666666666666667,0,0,162,0,0,0,0,0,0.00617283950617284,0.00666666666666667,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,1319291,0.0454545454545455,0.0454545454545455,0,0,44,0.00334211330176587,0.00334211330176587,0,0,50,0.0230543155860457,0.0230543155860457,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"10","ES","ESAR","ESZ",964693,NA,NA,NA,NA,0,1319291,0.0454545454545455,0.0454545454545455,0,0,44,0.00334211330176587,0.00334211330176587,0,0,50,0.0230543155860457,0.0230543155860457,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"11","ES","ESAR","ESHU",220461,0.02,0.02,0,0,50,1319291,0.0454545454545455,0.0454545454545455,0,0,44,0.00334211330176587,0.00334211330176587,0,0,50,0.0230543155860457,0.0230543155860457,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"12","ES","ESAS","ESO",1022800,NA,NA,NA,NA,0,1022800,0.02,0.02,0,0,100,0,0,0,0,0,0.02,0.02,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"13","ES","ESCB","ESS",581078,NA,NA,NA,NA,0,581078,0.1,0.1,0,0,30,0,0,0,0,0,0.1,0.1,0,0,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
"14","ES","ESCE",NA,NA,NA,NA,NA,NA,NA,84777,0,0,NA,NA,100,0,0,0,0,0,0,0,NA,NA,47026208,0.0623479622779833,0.0536292974496957,0.0240963855421687,0.02,30009,0.0469892137486155,0.0485693303666192,0.00114176103552997,0.00114176103552997,1702,0.0615236240358281,0.053357717746268,0.0228643597179973,0.0189878363117679
