"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2020/03/14",1,0,1,0,1,8.92229976880448e-09,8.92229976880448e-09,8.92229976880448e-09,112078727
"2","2020/03/15",0,0,1,0,1,8.92229976880448e-09,0,8.92229976880448e-09,112078727
"3","2020/03/16",3,0,4,0,4,3.56891990752179e-08,2.67668993064134e-08,3.56891990752179e-08,112078727
"4","2020/03/17",1,0,5,0,5,4.46114988440224e-08,8.92229976880448e-09,4.46114988440224e-08,112078727
"5","2020/03/18",0,0,5,0,5,4.46114988440224e-08,0,4.46114988440224e-08,112078727
"6","2020/03/19",1,0,6,0,6,5.35337986128269e-08,8.92229976880448e-09,5.35337986128269e-08,112078727
"7","2020/03/20",1,0,7,0,7,6.24560983816313e-08,8.92229976880448e-09,6.24560983816313e-08,112078727
"8","2020/03/21",2,0,9,0,9,8.03006979192403e-08,1.7844599537609e-08,8.03006979192403e-08,112078727
"9","2020/03/22",0,0,9,0,9,8.03006979192403e-08,0,8.03006979192403e-08,112078727
"10","2020/03/23",2,0,11,0,11,9.81452974568492e-08,1.7844599537609e-08,9.81452974568492e-08,112078727
"11","2020/03/24",0,0,11,0,11,9.81452974568492e-08,0,9.81452974568492e-08,112078727
"12","2020/03/25",0,0,11,0,11,9.81452974568492e-08,0,9.81452974568492e-08,112078727
"13","2020/03/26",1,0,12,0,11,1.07067597225654e-07,8.92229976880448e-09,9.81452974568492e-08,112078727
"14","2020/03/27",0,0,12,0,11,1.07067597225654e-07,0,9.81452974568492e-08,112078727
"15","2020/03/28",4,0,16,0,12,1.42756796300872e-07,3.56891990752179e-08,1.07067597225654e-07,112078727
"16","2020/03/29",0,0,16,0,11,1.42756796300872e-07,0,9.81452974568492e-08,112078727
"17","2020/03/30",0,0,16,0,11,1.42756796300872e-07,0,9.81452974568492e-08,112078727
"18","2020/03/31",7,0,23,0,17,2.05212894682503e-07,6.24560983816313e-08,1.51679096069676e-07,112078727
"19","2020/04/01",2,0,25,0,18,2.23057494220112e-07,1.7844599537609e-08,1.60601395838481e-07,112078727
"20","2020/04/02",4,0,29,0,20,2.5874669329533e-07,3.56891990752179e-08,1.7844599537609e-07,112078727
"21","2020/04/03",0,0,29,0,20,2.5874669329533e-07,0,1.7844599537609e-07,112078727
"22","2020/04/04",6,0,35,0,24,3.12280491908157e-07,5.35337986128269e-08,2.14135194451307e-07,112078727
"23","2020/04/05",3,0,38,0,27,3.3904739121457e-07,2.67668993064134e-08,2.40902093757721e-07,112078727
"24","2020/04/06",5,2,43,2,32,3.83658890058592e-07,4.46114988440224e-08,2.85513592601743e-07,112078727
