"","date","cases","deaths","cum_cases","cum_deaths","p_cases","p_cases_daily","population"
"1","2020/03/18",2,0,2,0,3.21449350833036e-06,3.21449350833036e-06,622182
"2","2020/03/19",6,0,8,0,1.28579740333214e-05,9.64348052499108e-06,622182
"3","2020/03/20",5,0,13,0,2.08942078041473e-05,8.0362337708259e-06,622182
"4","2020/03/21",1,0,14,0,2.25014545583125e-05,1.60724675416518e-06,622182
"5","2020/03/22",0,0,14,0,2.25014545583125e-05,0,622182
"6","2020/03/23",7,0,21,0,3.37521818374688e-05,1.12507272791563e-05,622182
"7","2020/03/24",6,0,27,0,4.33956623624599e-05,9.64348052499108e-06,622182
"8","2020/03/25",20,0,47,0,7.55405974457635e-05,3.21449350833036e-05,622182
"9","2020/03/26",6,0,53,0,8.51840779707545e-05,9.64348052499108e-06,622182
"10","2020/03/27",14,1,67,1,0.000107685532529067,2.25014545583125e-05,622182
"11","2020/03/28",8,0,75,1,0.000120543506562388,1.28579740333214e-05,622182
"12","2020/03/29",9,0,84,1,0.000135008727349875,1.44652207874866e-05,622182
"13","2020/03/30",1,0,85,1,0.00013661597410404,1.60724675416518e-06,622182
"14","2020/03/31",6,0,91,1,0.000146259454629031,9.64348052499108e-06,622182
"15","2020/04/01",18,0,109,1,0.000175189896204005,2.89304415749732e-05,622182
"16","2020/04/02",14,0,123,1,0.000197691350762317,2.25014545583125e-05,622182
"17","2020/04/03",21,1,144,2,0.000231443532599786,3.37521818374688e-05,622182
"18","2020/04/04",30,0,174,2,0.000279660935224741,4.82174026249554e-05,622182
"19","2020/04/05",27,0,201,2,0.000323056597587201,4.33956623624599e-05,622182
"20","2020/04/06",13,0,214,2,0.000343950805391348,2.08942078041473e-05,622182
"21","2020/04/07",19,0,233,2,0.000374488493720487,3.05376883291384e-05,622182
"22","2020/04/08",8,0,241,2,0.000387346467753808,1.28579740333214e-05,622182
"23","2020/04/09",8,0,249,2,0.00040020444178713,1.28579740333214e-05,622182
"24","2020/04/10",3,0,252,2,0.000405026182049625,4.82174026249554e-06,622182
"25","2020/04/11",5,0,257,2,0.000413062415820451,8.0362337708259e-06,622182
"26","2020/04/12",6,0,263,2,0.000422705896345442,9.64348052499108e-06,622182
"27","2020/04/13",9,1,272,3,0.000437171117132929,1.44652207874866e-05,622182
"28","2020/04/14",2,0,274,3,0.000440385610641259,3.21449350833036e-06,622182
"29","2020/04/15",9,1,283,4,0.000454850831428746,1.44652207874866e-05,622182
"30","2020/04/16",5,0,288,4,0.000462887065199572,8.0362337708259e-06,622182
"31","2020/04/17",15,0,303,4,0.00048699576651205,2.41087013124777e-05,622182
"32","2020/04/18",0,0,303,4,0.00048699576651205,0,622182
"33","2020/04/19",4,1,307,5,0.00049342475352871,6.42898701666072e-06,622182
"34","2020/04/20",1,0,308,5,0.000495032000282875,1.60724675416518e-06,622182
"35","2020/04/21",4,0,312,5,0.000501460987299536,6.42898701666072e-06,622182
"36","2020/04/22",1,0,313,5,0.000503068234053701,1.60724675416518e-06,622182
"37","2020/04/23",2,0,315,5,0.000506282727562032,3.21449350833036e-06,622182
"38","2020/04/24",4,0,319,5,0.000512711714578692,6.42898701666072e-06,622182
"39","2020/04/25",0,1,319,6,0.000512711714578692,0,622182
"40","2020/04/26",1,0,320,6,0.000514318961332858,1.60724675416518e-06,622182
"41","2020/04/27",1,1,321,7,0.000515926208087023,1.60724675416518e-06,622182
"42","2020/04/28",0,0,321,7,0.000515926208087023,0,622182
"43","2020/04/29",0,0,321,7,0.000515926208087023,0,622182
"44","2020/04/30",1,0,322,7,0.000517533454841188,1.60724675416518e-06,622182
"45","2020/05/01",0,0,322,7,0.000517533454841188,0,622182
"46","2020/05/02",0,0,322,7,0.000517533454841188,0,622182
"47","2020/05/03",0,0,322,7,0.000517533454841188,0,622182
