"","date","cases","deaths","cum_cases","cum_deaths","p_cases","population"
"1","2019/12/31",0,0,0,0,0,2957728
"2","2020/01/01",0,0,0,0,0,2957728
"3","2020/01/02",0,0,0,0,0,2957728
"4","2020/01/03",0,0,0,0,0,2957728
"5","2020/01/04",0,0,0,0,0,2957728
"6","2020/01/05",0,0,0,0,0,2957728
"7","2020/01/06",0,0,0,0,0,2957728
"8","2020/01/07",0,0,0,0,0,2957728
"9","2020/01/08",0,0,0,0,0,2957728
"10","2020/01/09",0,0,0,0,0,2957728
"11","2020/01/10",0,0,0,0,0,2957728
"12","2020/01/11",0,0,0,0,0,2957728
"13","2020/01/12",0,0,0,0,0,2957728
"14","2020/01/13",0,0,0,0,0,2957728
"15","2020/01/14",0,0,0,0,0,2957728
"16","2020/01/15",0,0,0,0,0,2957728
"17","2020/01/16",0,0,0,0,0,2957728
"18","2020/01/17",0,0,0,0,0,2957728
"19","2020/01/18",0,0,0,0,0,2957728
"20","2020/01/19",0,0,0,0,0,2957728
"21","2020/01/20",0,0,0,0,0,2957728
"22","2020/01/21",0,0,0,0,0,2957728
"23","2020/01/22",0,0,0,0,0,2957728
"24","2020/01/23",0,0,0,0,0,2957728
"25","2020/01/24",0,0,0,0,0,2957728
"26","2020/01/25",0,0,0,0,0,2957728
"27","2020/01/26",0,0,0,0,0,2957728
"28","2020/01/27",0,0,0,0,0,2957728
"29","2020/01/28",0,0,0,0,0,2957728
"30","2020/01/29",0,0,0,0,0,2957728
"31","2020/01/30",0,0,0,0,0,2957728
"32","2020/01/31",0,0,0,0,0,2957728
"33","2020/02/01",0,0,0,0,0,2957728
"34","2020/02/02",0,0,0,0,0,2957728
"35","2020/02/03",0,0,0,0,0,2957728
"36","2020/02/04",0,0,0,0,0,2957728
"37","2020/02/05",0,0,0,0,0,2957728
"38","2020/02/06",0,0,0,0,0,2957728
"39","2020/02/07",0,0,0,0,0,2957728
"40","2020/02/08",0,0,0,0,0,2957728
"41","2020/02/09",0,0,0,0,0,2957728
"42","2020/02/10",0,0,0,0,0,2957728
"43","2020/02/11",0,0,0,0,0,2957728
"44","2020/02/12",0,0,0,0,0,2957728
"45","2020/02/13",0,0,0,0,0,2957728
"46","2020/02/14",0,0,0,0,0,2957728
"47","2020/02/15",0,0,0,0,0,2957728
"48","2020/02/16",0,0,0,0,0,2957728
"49","2020/02/17",0,0,0,0,0,2957728
"50","2020/02/18",0,0,0,0,0,2957728
"51","2020/02/19",0,0,0,0,0,2957728
"52","2020/02/20",0,0,0,0,0,2957728
"53","2020/02/21",0,0,0,0,0,2957728
"54","2020/02/22",0,0,0,0,0,2957728
"55","2020/02/23",0,0,0,0,0,2957728
"56","2020/02/24",0,0,0,0,0,2957728
"57","2020/02/25",0,0,0,0,0,2957728
"58","2020/02/26",0,0,0,0,0,2957728
"59","2020/02/27",0,0,0,0,0,2957728
"60","2020/02/28",0,0,0,0,0,2957728
"61","2020/02/29",0,0,0,0,0,2957728
"62","2020/03/01",1,0,1,0,3.38097350398684e-07,2957728
"63","2020/03/02",0,0,1,0,3.38097350398684e-07,2957728
"64","2020/03/12",3,0,4,0,1.35238940159474e-06,2957728
"65","2020/03/13",2,0,6,0,2.02858410239211e-06,2957728
"66","2020/03/14",7,0,13,0,4.3952655551829e-06,2957728
"67","2020/03/15",7,0,20,0,6.76194700797369e-06,2957728
"68","2020/03/16",10,0,30,0,1.01429205119605e-05,2957728
"69","2020/03/17",22,0,52,0,1.75810622207316e-05,2957728
"70","2020/03/18",26,0,78,0,2.63715933310974e-05,2957728
"71","2020/03/19",37,0,115,0,3.88811952958487e-05,2957728
"72","2020/03/20",7,0,122,0,4.12478767486395e-05,2957728
