"","date","cases","deaths","cum_cases","cum_deaths","cases_active","p_cases","p_cases_daily","p_cases_active","population"
"1","2019/12/31",0,0,0,0,0,0,0,0,2957728
"2","2020/01/01",0,0,0,0,0,0,0,0,2957728
"3","2020/01/02",0,0,0,0,0,0,0,0,2957728
"4","2020/01/03",0,0,0,0,0,0,0,0,2957728
"5","2020/01/04",0,0,0,0,0,0,0,0,2957728
"6","2020/01/05",0,0,0,0,0,0,0,0,2957728
"7","2020/01/06",0,0,0,0,0,0,0,0,2957728
"8","2020/01/07",0,0,0,0,0,0,0,0,2957728
"9","2020/01/08",0,0,0,0,0,0,0,0,2957728
"10","2020/01/09",0,0,0,0,0,0,0,0,2957728
"11","2020/01/10",0,0,0,0,0,0,0,0,2957728
"12","2020/01/11",0,0,0,0,0,0,0,0,2957728
"13","2020/01/12",0,0,0,0,0,0,0,0,2957728
"14","2020/01/13",0,0,0,0,0,0,0,0,2957728
"15","2020/01/14",0,0,0,0,0,0,0,0,2957728
"16","2020/01/15",0,0,0,0,0,0,0,0,2957728
"17","2020/01/16",0,0,0,0,0,0,0,0,2957728
"18","2020/01/17",0,0,0,0,0,0,0,0,2957728
"19","2020/01/18",0,0,0,0,0,0,0,0,2957728
"20","2020/01/19",0,0,0,0,0,0,0,0,2957728
"21","2020/01/20",0,0,0,0,0,0,0,0,2957728
"22","2020/01/21",0,0,0,0,0,0,0,0,2957728
"23","2020/01/22",0,0,0,0,0,0,0,0,2957728
"24","2020/01/23",0,0,0,0,0,0,0,0,2957728
"25","2020/01/24",0,0,0,0,0,0,0,0,2957728
"26","2020/01/25",0,0,0,0,0,0,0,0,2957728
"27","2020/01/26",0,0,0,0,0,0,0,0,2957728
"28","2020/01/27",0,0,0,0,0,0,0,0,2957728
"29","2020/01/28",0,0,0,0,0,0,0,0,2957728
"30","2020/01/29",0,0,0,0,0,0,0,0,2957728
"31","2020/01/30",0,0,0,0,0,0,0,0,2957728
"32","2020/01/31",0,0,0,0,0,0,0,0,2957728
"33","2020/02/01",0,0,0,0,0,0,0,0,2957728
"34","2020/02/02",0,0,0,0,0,0,0,0,2957728
"35","2020/02/03",0,0,0,0,0,0,0,0,2957728
"36","2020/02/04",0,0,0,0,0,0,0,0,2957728
"37","2020/02/05",0,0,0,0,0,0,0,0,2957728
"38","2020/02/06",0,0,0,0,0,0,0,0,2957728
"39","2020/02/07",0,0,0,0,0,0,0,0,2957728
"40","2020/02/08",0,0,0,0,0,0,0,0,2957728
"41","2020/02/09",0,0,0,0,0,0,0,0,2957728
"42","2020/02/10",0,0,0,0,0,0,0,0,2957728
"43","2020/02/11",0,0,0,0,0,0,0,0,2957728
"44","2020/02/12",0,0,0,0,0,0,0,0,2957728
"45","2020/02/13",0,0,0,0,0,0,0,0,2957728
"46","2020/02/14",0,0,0,0,0,0,0,0,2957728
"47","2020/02/15",0,0,0,0,0,0,0,0,2957728
"48","2020/02/16",0,0,0,0,0,0,0,0,2957728
"49","2020/02/17",0,0,0,0,0,0,0,0,2957728
"50","2020/02/18",0,0,0,0,0,0,0,0,2957728
"51","2020/02/19",0,0,0,0,0,0,0,0,2957728
"52","2020/02/20",0,0,0,0,0,0,0,0,2957728
"53","2020/02/21",0,0,0,0,0,0,0,0,2957728
"54","2020/02/22",0,0,0,0,0,0,0,0,2957728
"55","2020/02/23",0,0,0,0,0,0,0,0,2957728
"56","2020/02/24",0,0,0,0,0,0,0,0,2957728
"57","2020/02/25",0,0,0,0,0,0,0,0,2957728
"58","2020/02/26",0,0,0,0,0,0,0,0,2957728
"59","2020/02/27",0,0,0,0,0,0,0,0,2957728
"60","2020/02/28",0,0,0,0,0,0,0,0,2957728
"61","2020/02/29",0,0,0,0,0,0,0,0,2957728
"62","2020/03/01",1,0,1,0,1,3.38097350398684e-07,3.38097350398684e-07,3.38097350398684e-07,2957728
"63","2020/03/02",0,0,1,0,1,3.38097350398684e-07,0,3.38097350398684e-07,2957728
"64","2020/03/12",3,0,4,0,4,1.35238940159474e-06,1.01429205119605e-06,1.35238940159474e-06,2957728
"65","2020/03/13",2,0,6,0,6,2.02858410239211e-06,6.76194700797369e-07,2.02858410239211e-06,2957728
"66","2020/03/14",7,0,13,0,13,4.3952655551829e-06,2.36668145279079e-06,4.3952655551829e-06,2957728
"67","2020/03/15",7,0,20,0,20,6.76194700797369e-06,2.36668145279079e-06,6.76194700797369e-06,2957728
"68","2020/03/16",8,0,28,0,28,9.46672581116316e-06,2.70477880318948e-06,9.46672581116316e-06,2957728
"69","2020/03/17",17,0,45,0,45,1.52143807679408e-05,5.74765495677763e-06,1.52143807679408e-05,2957728
"70","2020/03/18",33,0,78,0,78,2.63715933310974e-05,1.11572125631566e-05,2.63715933310974e-05,2957728
"71","2020/03/19",32,0,110,0,110,3.71907085438553e-05,1.08191152127579e-05,3.71907085438553e-05,2957728
"72","2020/03/20",26,0,136,0,136,4.59812396542211e-05,8.79053111036579e-06,4.59812396542211e-05,2957728
"73","2020/03/21",24,0,160,0,160,5.40955760637895e-05,8.11433640956843e-06,5.40955760637895e-05,2957728
"74","2020/03/22",30,0,190,0,189,6.423849657575e-05,1.01429205119605e-05,6.39003992253514e-05,2957728
"75","2020/03/23",4,0,194,0,193,6.55908859773448e-05,1.35238940159474e-06,6.52527886269461e-05,2957728
"76","2020/03/24",41,0,235,0,231,7.94528773436908e-05,1.38619913663461e-05,7.81004879420961e-05,2957728
"77","2020/03/25",30,0,265,0,259,8.95957978556514e-05,1.01429205119605e-05,8.75672137532593e-05,2957728
"78","2020/03/26",25,0,290,0,277,9.80482316156185e-05,8.45243375996711e-06,9.36529660604356e-05,2957728
"79","2020/03/27",39,1,329,1,309,0.000111234028281167,1.31857966655487e-05,0.000104472081273193,2957728
"80","2020/03/28",43,0,372,1,344,0.000125772214348311,1.45381860671434e-05,0.000116305488537147,2957728
"81","2020/03/29",52,0,424,1,379,0.000143353276569042,1.75810622207316e-05,0.000128138895801101,2957728
"82","2020/03/30",58,2,482,3,404,0.000162962922892166,1.96096463231237e-05,0.000136591329561068,2957728
"83","2020/03/31",50,0,532,3,422,0.0001798677904121,1.69048675199342e-05,0.000142677081868245,2957728
"84","2020/04/01",39,0,571,3,435,0.000193053587077649,1.31857966655487e-05,0.000147072347423428,2957728
