"","date","cod_ine","CCAA","cum_cases","cases","cum_deaths","deaths","population","iso31662","cum_deaths_400","est_ccfr","est_ccfr_low","est_ccfr_high","sample_size","mean_cases","mean_reach","dunbar_reach","cases_p_reach","cases_p_reach_low","cases_p_reach_high","cases_p_reach_error","cases_p_reach_prop","cases_p_reach_prop_median","estimated_cases","estimate_cases_low","estimate_cases_high","estimate_cases_error","prop_cases","dunbar_cases","pop_cases_low","pop_cases_high","pop_cases_error","dunbar_cases_low","dunbar_cases_high","dunbar_cases_error"
"1","2020/02/21",10,"C. Valenciana",0,0,NA,0,4974475,"ESVC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020/02/22",10,"C. Valenciana",0,0,NA,0,4974475,"ESVC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020/02/23",10,"C. Valenciana",0,0,NA,0,4974475,"ESVC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020/02/24",10,"C. Valenciana",0,0,NA,0,4974475,"ESVC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020/02/25",10,"C. Valenciana",0,0,NA,0,4974475,"ESVC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020/02/26",10,"C. Valenciana",1,1,NA,0,4974475,"ESVC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020/02/27",10,"C. Valenciana",2,1,NA,0,4974475,"ESVC",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020/02/28",10,"C. Valenciana",8,6,NA,0,4974475,"ESVC",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020/02/29",10,"C. Valenciana",10,2,NA,0,4974475,"ESVC",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020/03/01",10,"C. Valenciana",15,5,NA,0,4974475,"ESVC",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020/03/02",10,"C. Valenciana",15,0,NA,0,4974475,"ESVC",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020/03/03",10,"C. Valenciana",15,0,0,0,4974475,"ESVC",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020/03/04",10,"C. Valenciana",19,4,1,1,4974475,"ESVC",400,397.432145224116,107.390106064459,1470.82739598594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020/03/05",10,"C. Valenciana",19,0,1,0,4974475,"ESVC",400,300.497836104154,62.5240360413781,1444.22777575522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020/03/06",10,"C. Valenciana",30,11,1,0,4974475,"ESVC",400,376.487108584374,73.3807015715162,1931.60517540271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020/03/07",10,"C. Valenciana",30,0,1,0,4974475,"ESVC",400,304.600785740708,56.6624949163429,1637.4435825821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020/03/08",10,"C. Valenciana",37,7,1,0,4974475,"ESVC",400,304.927561699425,53.3013964190905,1744.43493286518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020/03/09",10,"C. Valenciana",37,0,1,0,4974475,"ESVC",400,250.968295278962,42.166199577078,1493.73398283367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020/03/10",10,"C. Valenciana",50,13,1,0,4974475,"ESVC",400,283.507536816385,46.3452332853304,1734.29968378507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020/03/11",10,"C. Valenciana",65,15,1,0,4974475,"ESVC",400,311.586948171582,49.921691106071,1944.77438804299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020/03/12",10,"C. Valenciana",76,11,1,0,4974475,"ESVC",400,305.658672840486,47.9169079531709,1949.77573206338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020/03/13",10,"C. Valenciana",94,18,1,0,4974475,"ESVC",400,314.29621722308,48.3051086284136,2044.96201262309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020/03/14",10,"C. Valenciana",130,36,4,3,4974475,"ESVC",1600,1439.8714291216,949.375333985594,2183.78301835272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020/03/15",10,"C. Valenciana",409,279,5,1,4974475,"ESVC",2000,4638.9742260616,3326.2773852216,6469.71956267867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020/03/16",10,"C. Valenciana",409,0,5,0,4974475,"ESVC",2000,3414.95266667065,2410.55143941933,4837.85640285287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020/03/17",10,"C. Valenciana",541,132,13,8,4974475,"ESVC",5200,7932.16567911049,7020.90673067851,8961.69893354754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020/03/18",10,"C. Valenciana",726,185,22,9,4974475,"ESVC",8800,12523.6040491339,11680.7143173885,13427.3173812667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020/03/19",10,"C. Valenciana",921,195,24,2,4974475,"ESVC",9600,12396.200086673,11577.0839114697,13273.2713837024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020/03/20",10,"C. Valenciana",1105,184,33,9,4974475,"ESVC",13200,14941.479265338,14209.7905444525,15710.844008442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020/03/21",10,"C. Valenciana",1363,258,50,17,4974475,"ESVC",20000,20893.928264842,20220.0400514507,21590.2756485906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020/03/22",10,"C. Valenciana",1604,241,69,19,4974475,"ESVC",27600,25985.0713004681,25370.0652068913,26614.9860074857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020/03/23",10,"C. Valenciana",1901,297,94,25,4974475,"ESVC",37600,32778.9428891075,32201.3311621995,33366.9155326304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020/03/24",10,"C. Valenciana",2167,266,115,21,4974475,"ESVC",46000,36381.3155306148,35840.3364065812,36930.4602703201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020/03/25",10,"C. Valenciana",2616,449,143,28,4974475,"ESVC",57200,44209.9435843076,43665.1951207924,44761.4880987206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020/03/26",10,"C. Valenciana",3200,584,167,24,4974475,"ESVC",66800,51819.190301253,51252.1904711481,52392.4628155961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020/03/27",10,"C. Valenciana",3532,332,198,31,4974475,"ESVC",79200,55973.6467492623,55437.6102433705,56514.8662912624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
