"","date","cod_ine","CCAA","cum_cases","cases","cum_deaths","deaths","population","iso31662","cum_deaths_400","est_ccfr","est_ccfr_low","est_ccfr_high","sample_size","mean_cases","mean_reach","dunbar_reach","cases_p_reach","cases_p_reach_low","cases_p_reach_high","cases_p_reach_error","cases_p_reach_prop","cases_p_reach_prop_median","estimated_cases","estimate_cases_low","estimate_cases_high","estimate_cases_error","prop_cases","dunbar_cases","pop_cases_low","pop_cases_high","pop_cases_error","dunbar_cases_low","dunbar_cases_high","dunbar_cases_error"
"1","2020/02/21",12,"Galicia",0,0,NA,0,2700330,"ESGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020/02/22",12,"Galicia",0,0,NA,0,2700330,"ESGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020/02/23",12,"Galicia",0,0,NA,0,2700330,"ESGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020/02/24",12,"Galicia",0,0,NA,0,2700330,"ESGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020/02/25",12,"Galicia",0,0,NA,0,2700330,"ESGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020/02/26",12,"Galicia",0,0,NA,0,2700330,"ESGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020/02/27",12,"Galicia",0,0,NA,0,2700330,"ESGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020/02/28",12,"Galicia",0,0,NA,0,2700330,"ESGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020/02/29",12,"Galicia",0,0,NA,0,2700330,"ESGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020/03/01",12,"Galicia",0,0,NA,0,2700330,"ESGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020/03/02",12,"Galicia",0,0,NA,0,2700330,"ESGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020/03/03",12,"Galicia",0,0,0,0,2700330,"ESGA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020/03/04",12,"Galicia",1,1,0,0,2700330,"ESGA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020/03/05",12,"Galicia",1,0,0,0,2700330,"ESGA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020/03/06",12,"Galicia",3,2,0,0,2700330,"ESGA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020/03/07",12,"Galicia",3,0,0,0,2700330,"ESGA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020/03/08",12,"Galicia",5,2,0,0,2700330,"ESGA",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020/03/09",12,"Galicia",6,1,0,0,2700330,"ESGA",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020/03/10",12,"Galicia",22,16,0,0,2700330,"ESGA",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020/03/11",12,"Galicia",35,13,0,0,2700330,"ESGA",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020/03/12",12,"Galicia",35,0,0,0,2700330,"ESGA",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020/03/13",12,"Galicia",85,50,0,0,2700330,"ESGA",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020/03/14",12,"Galicia",115,30,0,0,2700330,"ESGA",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020/03/15",12,"Galicia",195,80,2,2,2700330,"ESGA",800,2097.56604495502,913.618111098785,4815.77943727137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020/03/16",12,"Galicia",245,50,2,0,2700330,"ESGA",800,1626.29923791517,665.982718452186,3971.34811154014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020/03/17",12,"Galicia",292,47,3,1,2700330,"ESGA",1200,1852.16079327144,1018.95458584771,3366.68547526864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020/03/18",12,"Galicia",341,49,3,0,2700330,"ESGA",1200,1465.70273379754,791.000526941178,2715.90780371418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020/03/19",12,"Galicia",453,112,4,1,2700330,"ESGA",1600,1868.51013834894,1174.98091201076,2971.39306811209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020/03/20",12,"Galicia",578,125,5,1,2700330,"ESGA",2000,2229.36407705857,1535.22653185223,3237.34907192027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020/03/21",12,"Galicia",739,161,9,4,2700330,"ESGA",3600,3904.65117678377,3184.94856594665,4786.98493764445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020/03/22",12,"Galicia",915,176,12,3,2700330,"ESGA",4800,4953.30011423558,4250.36614251429,5772.48669856299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020/03/23",12,"Galicia",1208,293,18,6,2700330,"ESGA",7200,7599.25894939272,6867.09354905492,8409.48738609699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020/03/24",12,"Galicia",1415,207,20,2,2700330,"ESGA",8000,7697.91465834201,7017.64994379477,8444.12168770466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020/03/25",12,"Galicia",1653,238,27,7,2700330,"ESGA",10800,9504.09882293354,8872.93631469395,10180.1580933811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2020/03/26",12,"Galicia",1915,262,32,5,2700330,"ESGA",12800,10362.3383346632,9772.8407899715,10987.3943584774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2020/03/27",12,"Galicia",2322,407,43,11,2700330,"ESGA",17200,13627.4618896168,13043.726279516,14237.3209597778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020/03/28",12,"Galicia",2772,450,47,4,2700330,"ESGA",18800,14532.7684676954,13954.8868324744,15134.5805860751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020/03/29",12,"Galicia",3139,367,60,13,2700330,"ESGA",24000,17291.0970113039,16745.3355090706,17854.6458918288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020/03/30",12,"Galicia",3723,584,66,6,2700330,"ESGA",26400,18706.1072750864,18161.8351599888,19266.6900841565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020/03/31",12,"Galicia",4039,316,84,18,2700330,"ESGA",33600,21588.3890977277,21086.9340490489,22101.7689319283,34,1.94117647058824,85.6470588235294,5100,0.0226648351648352,0.0172591537022159,0.0280705166274544,0.00540568146261925,0.0324509803921569,0,61202.5343406593,46605.4105167047,75799.658164614,14597.1238239547,87628.3558823529,34945.4470588235,70249.5614287167,105007.150335989,17378.7944536362,26569.4167224962,43321.4773951509,8376.03033632737
"41","2020/04/01",12,"Galicia",4432,393,103,19,2700330,"ESGA",41200,24494.0568381855,24021.8220085872,24975.5751323854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020/04/02",12,"Galicia",4842,410,120,17,2700330,"ESGA",48000,26621.6449161771,26173.3237549405,27077.6453414421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020/04/03",12,"Galicia",5219,377,138,18,2700330,"ESGA",55200,28530.8492424807,28105.4965290466,28962.6393063684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020/04/04",12,"Galicia",5625,406,159,21,2700330,"ESGA",63600,30988.3579239297,30579.5778655887,31402.6024506433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020/04/05",12,"Galicia",5944,319,174,15,2700330,"ESGA",69600,31674.4261655291,31286.4204128962,32067.2438609182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020/04/06",12,"Galicia",6151,207,190,16,2700330,"ESGA",76000,31945.3098997115,31581.1188012742,32313.7008226393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020/04/07",12,"Galicia",6331,180,204,14,2700330,"ESGA",81600,31825.7907712839,31482.9489147593,32172.3660944193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020/04/08",12,"Galicia",6538,207,213,9,2700330,"ESGA",85200,31257.0830754938,30931.0899276211,31586.5119746676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2020/04/09",12,"Galicia",6758,220,231,18,2700330,"ESGA",92400,32225.5123265533,31910.7361533722,32543.3935374474,46,2.97826086956522,82.0434782608696,6900,0.0363010068892422,0.0303337163799932,0.0422682973984912,0.005967290509249,0.0377445234755894,0.01,98024.6979332273,81911.044352387,114138.351514068,16113.6535808403,101922.669076838,53615.247826087,85504.0678992285,118341.270254448,16418.6011776098,44726.8952492769,62503.600402897,8888.35257681003
"50","2020/04/10",12,"Galicia",6946,188,243,12,2700330,"ESGA",97200,32312.6131450033,32009.0972125488,32619.0070693188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","2020/04/11",12,"Galicia",7176,230,261,18,2700330,"ESGA",104400,33487.7506071342,33190.5182021297,33787.6448296506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","2020/04/12",12,"Galicia",7336,160,274,13,2700330,"ESGA",109600,33767.926625467,33479.1580507768,34059.1859225823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","2020/04/13",12,"Galicia",7494,158,284,10,2700330,"ESGA",113600,33765.9678910604,33484.8029272883,34049.4937388737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2020/04/14",12,"Galicia",7597,103,290,6,2700330,"ESGA",116000,33164.8129003421,32892.6258097278,33439.2523441959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2020/04/15",12,"Galicia",7708,111,299,9,2700330,"ESGA",119600,33064.0119176767,32798.6974327827,33331.4725785291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","2020/04/16",12,"Galicia",7873,165,310,11,2700330,"ESGA",124000,33510.1164497876,33248.40032665,33773.892681936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","2020/04/17",12,"Galicia",8013,140,320,10,2700330,"ESGA",128000,33817.7281737164,33559.7498077071,34077.6896545495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","2020/04/18",12,"Galicia",8084,71,334,14,2700330,"ESGA",133600,34308.7178169857,34055.2909244725,34564.0306187984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","2020/04/19",12,"Galicia",8185,101,346,12,2700330,"ESGA",138400,34765.9962445026,34515.813828598,35017.9920680683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
