"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","sumreach_provs","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs_rhs","p_m_regs_rhs","sumreach_regs_rhs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"1","PT","Alentejo","PT02",152758,0.00249791840133222,0.002,1201,437970,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"2","PT","Alentejo","PT07",166706,0.00704225352112676,0.00625,710,437970,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"3","PT","Alentejo","PT12",118506,0.0135135135135135,0.012,370,437970,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"4","PT","Algarve","PT08",451006,0.000424088210347752,0.000263157894736842,2358,451006,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"5","PT","Centro","PT06",430104,0.00568720379146919,0.00541666666666667,2110,1711875,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"6","PT","Centro","PT05",196264,0.00738007380073801,0.00272727272727273,542,1711875,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"7","PT","Centro","PT10",470930,0.0029673590504451,0.00296296296296296,1685,1711875,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"8","PT","Centro","PT09",160939,0.00952380952380952,0.00416666666666667,525,1711875,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"9","PT","Centro","PT14",453638,0.018348623853211,0.0162258953168044,2289,1711875,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"10","PT","Lisboa","PT11",2250533,0.00846196763994793,0.0126249287593825,21508,3101791,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"11","PT","Lisboa","PT15",851258,0.0039228506047728,0.00395502645502646,3059,3101791,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"12","PT","Norte","PT01",714200,0.0467796610169492,0.04,2950,4344904,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"13","PT","Norte","PT18",377653,0.00205128205128205,0.00266666666666667,975,4344904,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"14","PT","Norte","PT03",848185,0.0114729020979021,0.00985400657688959,9152,4344904,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"15","PT","Norte","PT04",136252,0,0,50,4344904,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"16","PT","Norte","PT13",1817117,0.0170151245551601,0.0180134533488192,17984,4344904,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"17","PT","Norte","PT16",244836,0.0129411764705882,0.0111111111111111,850,4344904,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"18","PT","Norte","PT17",206661,0.00656455142231947,0.003,457,4344904,NA,NA,0,0,0,0,NA,NA,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"19","PT","PT20",NA,NA,NA,NA,NA,245766,0.024,0.022962962962963,875,0,0,0,0.024,0.022962962962963,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
"20","PT","PT30",NA,NA,NA,NA,NA,267785,0.00280373831775701,0.00244444444444444,1070,0,0,0,0.00280373831775701,0.00244444444444444,10561097,0.00442122186495177,0.00462962962962963,4976,0.000629592083608413,0.000596349139782649,1945,0.00335566487539638,0.0034961618427849
