"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"1","ES","ESAN","ESAL",716820,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0,0,0,0,20,20,0.0486486486486486,0.0388468468468468,0.0108108108108108,0.00792792792792793,47026208,0.08,0,200,2,0.0426886951054197,1506,0.00454158255549086,1506,0.0470628222911853,0.00400915787137704
"2","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0,0,0,0,20,20,0.0486486486486486,0.0388468468468468,0.0108108108108108,0.00792792792792793,47026208,0.08,0,200,2,0.0426886951054197,1506,0.00454158255549086,1506,0.0470628222911853,0.00400915787137704
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0,0,0,0,20,20,0.0486486486486486,0.0388468468468468,0.0108108108108108,0.00792792792792793,47026208,0.08,0,200,2,0.0426886951054197,1506,0.00454158255549086,1506,0.0470628222911853,0.00400915787137704
"4","ES","ESAN","ESH",521870,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0,0,0,0,20,20,0.0486486486486486,0.0388468468468468,0.0108108108108108,0.00792792792792793,47026208,0.08,0,200,2,0.0426886951054197,1506,0.00454158255549086,1506,0.0470628222911853,0.00400915787137704
"5","ES","ESAN","ESCA",1240155,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0,0,0,0,20,20,0.0486486486486486,0.0388468468468468,0.0108108108108108,0.00792792792792793,47026208,0.08,0,200,2,0.0426886951054197,1506,0.00454158255549086,1506,0.0470628222911853,0.00400915787137704
"6","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0,0,0,0,20,20,0.0486486486486486,0.0388468468468468,0.0108108108108108,0.00792792792792793,47026208,0.08,0,200,2,0.0426886951054197,1506,0.00454158255549086,1506,0.0470628222911853,0.00400915787137704
"7","ES","ESAN","ESMA",1661785,0,0,0,0,20,1,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0,0,0,0,20,20,0.0486486486486486,0.0388468468468468,0.0108108108108108,0.00792792792792793,47026208,0.08,0,200,2,0.0426886951054197,1506,0.00454158255549086,1506,0.0470628222911853,0.00400915787137704
"8","ES","ESAN","ESSE",1942389,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0,0,0,0,20,20,0.0486486486486486,0.0388468468468468,0.0108108108108108,0.00792792792792793,47026208,0.08,0,200,2,0.0426886951054197,1506,0.00454158255549086,1506,0.0470628222911853,0.00400915787137704
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,0,1319291,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.08,0,200,2,0.0426886951054197,1506,0.00454158255549086,1506,0.0470628222911853,0.00400915787137704
"10","ES","ESAR","ESHU",220461,NA,NA,NA,NA,0,0,1319291,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.08,0,200,2,0.0426886951054197,1506,0.00454158255549086,1506,0.0470628222911853,0.00400915787137704
