"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","n_obs_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","ES","ESAN","ESCO",782979,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0.0210653997368187,0.0210653997368187,0,0,60,60,0.0456174399298183,0.0375581806705591,0.00888888888888889,0.00651851851851852,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"2","ES","ESAN","ESH",521870,0.05,0.05,0,0,20,1,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0.0210653997368187,0.0210653997368187,0,0,60,60,0.0456174399298183,0.0375581806705591,0.00888888888888889,0.00651851851851852,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"3","ES","ESAN","ESGR",914678,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0.0210653997368187,0.0210653997368187,0,0,60,60,0.0456174399298183,0.0375581806705591,0.00888888888888889,0.00651851851851852,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"4","ES","ESAN","ESMA",1661785,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0.0210653997368187,0.0210653997368187,0,0,60,60,0.0456174399298183,0.0375581806705591,0.00888888888888889,0.00651851851851852,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"5","ES","ESAN","ESJ",633564,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0.0210653997368187,0.0210653997368187,0,0,60,60,0.0456174399298183,0.0375581806705591,0.00888888888888889,0.00651851851851852,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"6","ES","ESAN","ESCA",1240155,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0.0210653997368187,0.0210653997368187,0,0,60,60,0.0456174399298183,0.0375581806705591,0.00888888888888889,0.00651851851851852,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"7","ES","ESAN","ESAL",716820,0,0,0,0,40,1,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0.0210653997368187,0.0210653997368187,0,0,60,60,0.0456174399298183,0.0375581806705591,0.00888888888888889,0.00651851851851852,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"8","ES","ESAN","ESSE",1942389,NA,NA,NA,NA,0,0,8414240,0.0545454545454545,0.0435555555555556,0.0121212121212121,0.00888888888888889,165,5,0.0210653997368187,0.0210653997368187,0,0,60,60,0.0456174399298183,0.0375581806705591,0.00888888888888889,0.00651851851851852,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"9","ES","ESAR","ESTE",134137,NA,NA,NA,NA,0,0,1319291,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"10","ES","ESAR","ESZ",964693,NA,NA,NA,NA,0,0,1319291,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"11","ES","ESAR","ESHU",220461,NA,NA,NA,NA,0,0,1319291,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"12","ES","ESAS","ESO",1022800,0.01,0.01,0,0,100,1,1022800,0,0,NA,NA,25,1,0,0,0,0,0,0,0,0,NA,NA,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"13","ES","ESCB","ESS",581078,NA,NA,NA,NA,0,0,581078,0.0333333333333333,0.0333333333333333,0,0,150,1,0,0,0,0,0,0,0.0333333333333333,0.0333333333333333,0,0,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"14","ES","ESCE","",84777,NA,NA,NA,NA,0,0,84777,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"15","ES","ESCL","ESAV",157640,NA,NA,NA,NA,0,0,2399548,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"16","ES","ESCL","ESSG",153129,NA,NA,NA,NA,0,0,2399548,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
"17","ES","ESCL","ESLE",460001,NA,NA,NA,NA,0,0,2399548,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.055,0.055,0,0,200,2,0.0443304226407051,0.0414100002314281,4873,0.00429538770902889,0.00406303236215958,4848,0.0447510643658892,0.0419457778686673,0.00412520594559668,0.00390205643655896
